,p,n_neighbors,weights,person
0,1,7,distance,31
1,1,7,distance,32
2,1,7,distance,33
3,1,7,distance,34
4,1,7,distance,35
5,1,7,distance,36
6,1,7,distance,37
7,1,7,distance,38
8,1,7,distance,39
9,1,7,uniform,40
10,1,7,distance,41
11,1,7,distance,42
12,1,7,uniform,43
13,1,7,distance,44
14,1,7,uniform,45
15,1,7,distance,46
16,1,7,distance,47
17,1,7,uniform,48
18,1,7,distance,49
19,1,7,distance,50
20,1,7,distance,51
21,1,7,distance,52
22,1,7,uniform,53
23,1,7,distance,54
24,1,7,distance,55
25,1,7,distance,56
26,1,7,uniform,57
27,1,7,distance,58
28,1,7,uniform,59
29,1,7,uniform,60
