,person,subset,# shots,Feature Set,wLDA,AccLDAInd,AccLDAGen,AccLDAProp,AccLDALiu,tPropL,tIndL,tGenL,wMeanLDA,AccQDAInd,AccQDAGen,tIndQ,tGenQ
0,36,"(1,)",1,2,"[0.5        0.87574101 0.98086124 0.9182221  1.         0.79996309
 1.        ]",0.9246633392974857,0.31255297108955643,0.9496186081551935,0.8758828514926076,9.433303833007812,0.0060613155364990234,1.1274800300598145,0.867826777224973,0.8872775214238628,0.37395234956210566,0.003607034683227539,0.3585789203643799
1,36,"(2,)",1,2,"[0.5        0.70505632 0.93580865 0.92573742 1.         0.69079671
 1.        ]",0.9935963838402863,0.31227045861192204,0.9955739711837273,0.8096807609002731,9.432153224945068,0.024937868118286133,0.8931112289428711,0.8224855869972856,0.8376494961860815,0.32969206139937846,0.003482341766357422,0.3100564479827881
2,36,"(3,)",1,2,"[0.5        0.78373025 0.93977048 0.99190283 1.         0.67256602
 1.        ]",0.9707128731518976,0.3189565872492702,0.9796591016103211,0.8950936999717487,9.428676128387451,0.004888057708740234,0.8410677909851074,0.8411385119173265,0.9254167059045108,0.34824371409737265,0.003490447998046875,0.3058943748474121
3,36,"(4,)",1,2,"[0.5        0.69023591 0.92384693 0.96718517 1.         0.70231246
 1.        ]",0.9656276485544778,0.3065260382333553,0.9701478481966287,0.8146718146718147,9.395652770996094,0.004866838455200195,0.8493537902832031,0.8262257815398508,0.8259723137771918,0.37178642056690836,0.023569107055664062,0.31089353561401367
4,36,"(1, 2)",2,2,"[0.50924609 0.81263251 0.94158062 0.96124928 1.         0.65595124
 1.        ]",0.9891703550240135,0.3878896317920708,0.9943497504473114,0.8494208494208494,9.458730697631836,0.008641242980957031,0.888685941696167,0.8400942477161438,0.9305961013278087,0.4882757321781712,0.004834175109863281,0.31189846992492676
5,36,"(1, 3)",2,2,"[0.51066856 0.85697096 0.96466691 0.9833795  1.         0.64866232
 1.        ]",0.964403427818062,0.38779546096619266,0.9720312647141915,0.8806855636123929,9.437675714492798,0.008781909942626953,0.8456146717071533,0.8520497511067567,0.9448158960354083,0.48441472831716736,0.02507305145263672,0.31258630752563477
6,36,"(1, 4)",2,2,"[0.51209104 0.77227257 0.90018403 0.99190283 1.         0.71704504
 1.        ]",0.9684527733308221,0.3776250117713532,0.9797532724361993,0.8739052641491666,9.427151679992676,0.008706331253051758,0.805325984954834,0.8419279302046366,0.9325736886712497,0.5073924098314342,0.024904727935791016,0.282562255859375
7,36,"(2, 3)",2,2,"[0.50254669 0.75586633 0.8848137  0.94687867 1.         0.61187617
 1.        ]",0.9898295508051606,0.3887371692249741,0.9958564836613617,0.8508334118090216,9.462437152862549,0.008710622787475586,0.8427629470825195,0.814568794434668,0.9431208211696016,0.46558056314153873,0.024973392486572266,0.3233492374420166
8,36,"(2, 4)",2,2,"[0.50071124 0.70712035 0.94081924 0.91831299 1.         0.65661041
 1.        ]",0.9856860344665223,0.3799792824183068,0.9921838214521141,0.7812411714850739,9.439512491226196,0.028766155242919922,0.8376400470733643,0.8176534613267016,0.9079951031170543,0.4794236745456258,0.004693746566772461,0.28689050674438477
9,36,"(3, 4)",2,2,"[0.5        0.74193413 0.89454389 0.99190283 1.         0.67135183
 1.        ]",0.9784348808739053,0.38026179489594125,0.9865335718994256,0.8819097843488087,9.42706036567688,0.008550167083740234,0.8637895584106445,0.8285332410500144,0.9412374046520388,0.4865806573123646,0.00464630126953125,0.2946200370788574
10,36,"(1, 2, 3)",3,2,"[0.50640114 0.81274087 0.9420988  0.9519394  1.         0.63095797
 1.        ]",0.987475280158207,0.4315848949995291,0.9935963838402863,0.8578962237498823,9.493423223495483,0.033933162689208984,0.8789098262786865,0.834876881835826,0.9582823241359827,0.5697334965627648,0.006043910980224609,0.28467893600463867
11,36,"(1, 2, 4)",3,2,"[0.51209104 0.78464274 0.93989911 0.98086124 1.         0.65028443
 1.        ]",0.9843676429042283,0.42376871645164327,0.9928430172332612,0.8449006497786986,9.4359769821167,0.032866477966308594,0.840435266494751,0.8382540809198844,0.9397306714379885,0.5799981165834824,0.006029367446899414,0.2872309684753418
12,36,"(1, 3, 4)",3,2,"[0.51280228 0.8501172  0.94181794 0.9833795  1.         0.68243688
 1.        ]",0.9733496562764855,0.42320369149637443,0.984838497033619,0.8805913927865148,9.42601990699768,0.0328826904296875,0.852257490158081,0.8529362580674357,0.9589415199171297,0.5779263584141633,0.005933523178100586,0.3147099018096924
13,36,"(2, 3, 4)",3,2,"[0.50213371 0.7906081  0.91124328 0.95151324 1.         0.66701179
 1.        ]",0.9883228175911103,0.42894811187494114,0.9945380920990677,0.8361427629720313,9.470664501190186,0.012619495391845703,0.8147256374359131,0.8317871593177605,0.9520670496280252,0.5635182220548074,0.025971174240112305,0.3065223693847656
14,36,"(1, 2, 3, 4)",4,2,"[0.51221655 0.81317952 0.92674122 0.97894737 1.         0.612141
 1.        ]",0.9859685469441567,0.4636029757980977,0.9937847254920426,0.8578020529240041,9.436369895935059,0.016646862030029297,0.9167318344116211,0.8347465225844669,0.9613899613899614,0.6414916658819098,0.027035236358642578,0.2936515808105469
