,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots,yKNNInd,ySVMInd,yKNNMulti,ySVMMulti
0,0.822,0.532,0.5,0.5,0.844,0.503,0.5,0.52,0.8141088558845171,0.5,0.5,20,0,3,0.5,0.855,0.824,0.5
1,0.809,0.766,0.5,0.5,0.831,0.831,0.509,0.507,0.5,0.5,0.5,20,0,4,0.816,0.803,0.824,0.5
2,0.852,0.846,0.5,0.5,0.848,0.845,0.538,0.542,0.5,0.5,0.5,20,0,5,0.825,0.829,0.824,0.5
3,0.846,0.842,0.5,0.5,0.852,0.846,0.536,0.537,0.5,0.5,0.5,20,0,6,0.815,0.827,0.824,0.5
4,0.835,0.841,0.5,0.5,0.847,0.842,0.586,0.608,0.5,0.5,0.5,20,0,7,0.833,0.829,0.824,0.5
5,0.852,0.83,0.5,0.5,0.848,0.842,0.755,0.746,0.5,0.5,0.5,20,0,8,0.84,0.848,0.824,0.5
6,0.851,0.822,0.5,0.5,0.853,0.844,0.701,0.722,0.5139320225002103,0.5,0.5,20,0,9,0.843,0.85,0.826,0.5
7,0.85,0.817,0.5,0.5,0.854,0.846,0.653,0.685,0.5125314072334501,0.5,0.5,20,0,10,0.844,0.849,0.826,0.5
8,0.839,0.821,0.5,0.5,0.856,0.856,0.606,0.644,0.47264984815222233,0.5,0.5,20,0,11,0.852,0.848,0.827,0.5
9,0.841,0.83,0.5,0.5,0.859,0.855,0.565,0.578,0.4710420379031334,0.5,0.5,20,0,12,0.848,0.842,0.826,0.5
10,0.844,0.836,0.5,0.5,0.859,0.858,0.58,0.583,0.5,0.5,0.5,20,0,13,0.849,0.842,0.826,0.5
11,0.842,0.836,0.5,0.5,0.855,0.855,0.584,0.593,0.4763268454228146,0.5,0.5,20,0,14,0.846,0.853,0.827,0.5
12,0.846,0.847,0.5,0.5,0.854,0.853,0.59,0.601,0.5111474222762825,0.5,0.5,20,0,15,0.838,0.852,0.826,0.5
13,0.844,0.84,0.5,0.5,0.849,0.848,0.739,0.744,0.4893746013824696,0.5,0.5,20,0,16,0.837,0.852,0.826,0.5
14,0.839,0.837,0.5,0.5,0.853,0.853,0.653,0.676,0.48891421450817846,0.5,0.5,20,0,17,0.836,0.851,0.826,0.5
15,0.835,0.831,0.5,0.5,0.852,0.849,0.605,0.627,0.4992235949962145,0.48854838938206957,0.5,20,0,18,0.828,0.853,0.826,0.5
16,0.839,0.836,0.5,0.5,0.853,0.851,0.598,0.615,0.47965096348714975,0.48947786567580953,0.5,20,0,19,0.823,0.854,0.826,0.5
17,0.838,0.837,0.5,0.5,0.853,0.85,0.607,0.624,0.4811666962912803,0.5097302790856988,0.5,20,0,20,0.827,0.856,0.825,0.5
18,0.842,0.834,0.5,0.5,0.85,0.848,0.625,0.645,0.490374215554891,0.509047751352457,0.5,20,0,21,0.829,0.854,0.825,0.5
19,0.842,0.83,0.5,0.5,0.85,0.848,0.611,0.633,0.5068924366348905,0.4915464995838429,0.5,20,0,22,0.838,0.839,0.825,0.5
20,0.842,0.83,0.5,0.5,0.85,0.849,0.644,0.669,0.5074576052257797,0.4920684587246985,0.5,20,0,23,0.838,0.839,0.825,0.5
21,0.842,0.834,0.5,0.5,0.85,0.849,0.648,0.674,0.5070343432132722,0.4925304815506273,0.5,20,0,24,0.838,0.839,0.825,0.5
22,0.837,0.836,0.5,0.5,0.852,0.849,0.62,0.638,0.5066567486991473,0.49294226780577,0.5,20,0,25,0.848,0.845,0.826,0.5
23,0.837,0.835,0.5,0.5,0.85,0.851,0.612,0.627,0.506478554959739,0.49277683986336235,0.5,20,0,26,0.849,0.848,0.826,0.5
24,0.841,0.829,0.5,0.5,0.853,0.85,0.628,0.647,0.5061523322731354,0.48631503977607504,0.5,20,0,27,0.847,0.845,0.826,0.5
25,0.846,0.827,0.5,0.5,0.852,0.847,0.633,0.655,0.5117155492879389,0.49871629449088667,0.5,20,0,28,0.847,0.848,0.826,0.5
26,0.847,0.823,0.5,0.5,0.853,0.848,0.631,0.648,0.5055904560024116,0.5103625028973562,0.5,20,0,29,0.85,0.847,0.826,0.5
27,0.837,0.824,0.5,0.5,0.851,0.848,0.607,0.627,0.5053467410502388,0.48232973968586373,0.5,20,0,30,0.847,0.846,0.825,0.5
28,0.834,0.82,0.5,0.5,0.852,0.846,0.598,0.613,0.5052283106054821,0.48863636363636365,0.5,20,0,31,0.84,0.846,0.825,0.5
29,0.834,0.823,0.5,0.5,0.852,0.847,0.599,0.616,0.5050121541750329,0.48913043478260876,0.5,20,0,32,0.84,0.846,0.825,0.5
30,0.833,0.824,0.5,0.5,0.852,0.848,0.591,0.608,0.504813470263052,0.48958333333333337,0.5,20,0,33,0.839,0.836,0.827,0.5
31,0.834,0.822,0.5,0.5,0.852,0.851,0.599,0.612,0.5046302018595126,0.49,0.5,20,0,34,0.839,0.836,0.827,0.5
32,0.832,0.822,0.5,0.5,0.852,0.852,0.578,0.593,0.5130510457733031,0.49926645261384967,0.5,20,0,35,0.838,0.833,0.827,0.5
