,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots,yKNNInd,ySVMInd,yKNNMulti,ySVMMulti
0,0.851,0.536,0.513,0.512,0.848,0.501,0.814,0.765,0.8068157784094927,0.5,0.5,20,57,3,0.5,0.834,0.745,0.5
1,0.834,0.719,0.513,0.512,0.833,0.817,0.789,0.79,0.5,0.5,0.5,20,57,4,0.836,0.832,0.745,0.5
2,0.813,0.691,0.513,0.512,0.822,0.776,0.712,0.684,0.5155429081345783,0.5,0.5,20,57,5,0.807,0.831,0.745,0.5
3,0.808,0.741,0.513,0.512,0.808,0.8,0.686,0.663,0.5,0.5,0.5,20,57,6,0.795,0.831,0.745,0.5
4,0.816,0.735,0.513,0.512,0.829,0.821,0.725,0.689,0.5033948472341296,0.5,0.5,20,57,7,0.836,0.831,0.745,0.5
5,0.835,0.761,0.513,0.512,0.834,0.829,0.814,0.796,0.5,0.5,0.5,20,57,8,0.844,0.836,0.745,0.5
6,0.852,0.836,0.513,0.512,0.843,0.834,0.822,0.817,0.5081769394138906,0.5,0.5,20,57,9,0.844,0.836,0.745,0.5
7,0.851,0.841,0.513,0.512,0.84,0.837,0.822,0.817,0.5125314072334501,0.5,0.5,20,57,10,0.846,0.836,0.745,0.5
8,0.846,0.841,0.513,0.512,0.843,0.835,0.842,0.822,0.4886127875258306,0.4886127875258306,0.5,20,57,11,0.846,0.822,0.745,0.5
9,0.84,0.834,0.513,0.512,0.847,0.841,0.84,0.843,0.475,0.4876607203735348,0.5,20,57,12,0.846,0.842,0.745,0.5
10,0.84,0.835,0.513,0.512,0.848,0.846,0.833,0.831,0.49098505057659725,0.48876023913869465,0.5,20,57,13,0.845,0.841,0.745,0.5
11,0.843,0.847,0.513,0.512,0.848,0.848,0.835,0.834,0.4917220126791041,0.4896808342180182,0.5,20,57,14,0.845,0.841,0.745,0.5
12,0.835,0.833,0.513,0.512,0.847,0.841,0.83,0.82,0.4780537691863787,0.4891587555531131,0.5,20,57,15,0.848,0.841,0.745,0.5
13,0.833,0.833,0.513,0.512,0.849,0.84,0.832,0.824,0.47767279978610466,0.4919859960715012,0.5,20,57,16,0.848,0.841,0.745,0.5
14,0.839,0.836,0.513,0.512,0.847,0.848,0.824,0.825,0.4925650389379298,0.4907256927863055,0.5,20,57,17,0.848,0.841,0.745,0.5
15,0.843,0.846,0.513,0.512,0.848,0.85,0.808,0.807,0.508813654284237,0.508813654284237,0.5,20,57,18,0.85,0.847,0.745,0.5
16,0.848,0.849,0.513,0.512,0.846,0.844,0.807,0.802,0.5,0.4831049574805741,0.5,20,57,19,0.845,0.851,0.744,0.5
17,0.845,0.847,0.513,0.512,0.847,0.845,0.815,0.815,0.48886727772724914,0.4920917698494425,0.5,20,57,20,0.842,0.848,0.744,0.5
18,0.844,0.849,0.513,0.512,0.847,0.849,0.821,0.82,0.4940172182683608,0.4940172182683608,0.5,20,57,21,0.842,0.848,0.744,0.5
19,0.846,0.849,0.513,0.512,0.847,0.849,0.823,0.825,0.4914880456546272,0.4870845354778181,0.5,20,57,22,0.841,0.848,0.744,0.5
20,0.848,0.848,0.513,0.512,0.847,0.844,0.824,0.818,0.472695192940806,0.472695192940806,0.5,20,57,23,0.844,0.847,0.744,0.5
