,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0.71,0.52,0.5,0.5,0.82,0.74,0.5,0.5,[0.5        0.58578644],[0.5 0.5],[0.5 1. ],[0.5 0.5],0.5,20,12,3,0.5428932188134525,0.5,0.75,0.5
1,0.72,0.67,0.5,0.5,0.78,0.79,0.5,0.5,[0.5405962 0.6708538],[0.5405962 0.5405962],[0.5405962 0.6708538],[0.5405962 0.5405962],0.5,20,12,4,0.6057250008139747,0.5405962024364074,0.6057250008139747,0.5405962024364074
2,0.69,0.67,0.5,0.5,0.79,0.79,0.5,0.51,[0.5675518  0.61163522],[0.49428093 0.5675518 ],[0.61647241 0.66719339],[0.5675518  0.59100147],0.5,20,12,5,0.5895935109561985,0.5309163634000228,0.6418329037443102,0.5792766356225758
3,0.71,0.73,0.5,0.5,0.77,0.72,0.5,0.5,[0.65267446 0.65267446],[0.52996165 0.58836715],[0.68193627 0.66902817],[0.59596445 0.61584473],0.5,20,12,6,0.6526744564878505,0.5591643957105277,0.6754822223275242,0.6059045923743288
4,0.71,0.55,0.5,0.5,0.74,0.7,0.5,0.5,[0.61571795 1.        ],[0.61571795 0.60559503],[0.60559503 0.89919605],[0.65422362 0.69639411],0.5,20,12,7,0.807858973866747,0.6106564903104748,0.7523955390450099,0.6753088665702884
5,0.68,0.56,0.5,0.5,0.75,0.66,0.5,0.5,[0.69071991 0.86226114],[0.70174188 0.62043852],[0.66777228 0.90950159],[0.71543685 0.75735983],0.5,20,12,8,0.7764905267676059,0.6610901999059826,0.7886369368551729,0.7363983402661127
6,0.81,0.76,0.5,0.5,0.82,0.8,0.5,0.5,[0.63356822 0.62125419],[0.59605582 0.58798284],[0.68210154 0.8453842 ],[0.82657018 0.66182463],0.5,20,12,9,0.627411203716614,0.5920193329109384,0.7637428677242,0.7441974060549461
7,0.81,0.78,0.5,0.5,0.83,0.81,0.5,0.5,[0.70713989 0.64071425],[0.64539923 0.71064331],[0.64539923 0.78707936],[0.73829782 0.64648786],0.5,20,12,10,0.6739270695777152,0.6780212735195971,0.7162392956757375,0.6923928408152192
8,0.83,0.79,0.5,0.5,0.83,0.82,0.52,0.52,[0.70379481 0.70379481],[0.65620784 0.70379481],[0.68656762 0.79242209],[0.75409875 0.70149872],0.5,20,12,11,0.7037948077490674,0.6800013224055907,0.7394948527263439,0.7277987357188755
9,0.81,0.8,0.5,0.5,0.82,0.83,0.55,0.53,[0.66618789 0.66618789],[0.62531181 0.66383025],[0.66618789 0.76088048],[0.72684534 0.690346  ],0.5,20,12,12,0.6661878933298478,0.6445710314219879,0.7135341856863867,0.7085956670426559
