,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
0,0.844,0.788,0.5,0.5,0.845,0.725,0.756,0.712,0.540089364147732,0.5,0.5,20,0,3
1,0.846,0.831,0.5,0.5,0.85,0.814,0.5,0.499,0.5460362691763776,0.5,0.5,20,0,4
2,0.842,0.836,0.5,0.5,0.845,0.844,0.474,0.469,0.5,0.5,0.5,20,0,5
3,0.84,0.804,0.5,0.5,0.846,0.794,0.493,0.493,0.5269268784176323,0.5295153323941855,0.5,20,0,6
4,0.827,0.81,0.5,0.5,0.835,0.837,0.754,0.764,0.5,0.5187214230539642,0.5,20,0,7
5,0.82,0.8,0.5,0.5,0.839,0.837,0.772,0.761,0.4843134832984429,0.5,0.5,20,0,8
6,0.833,0.814,0.5,0.5,0.836,0.835,0.531,0.721,0.5,0.5385830142939021,0.5,20,0,9
7,0.842,0.82,0.5,0.5,0.84,0.839,0.729,0.787,0.5160412089843065,0.5332114178176687,0.5,20,0,10
8,0.837,0.826,0.5,0.5,0.842,0.844,0.466,0.463,0.5141889395541925,0.5291796643616637,0.5,20,0,11
9,0.827,0.816,0.5,0.5,0.84,0.835,0.592,0.737,0.5,0.5401987870544157,0.5,20,0,12
10,0.826,0.817,0.5,0.5,0.837,0.836,0.757,0.772,0.5,0.5361316378200782,0.5,20,0,13
11,0.826,0.821,0.5,0.5,0.84,0.841,0.751,0.785,0.5105504581937439,0.5328316581279342,0.5,20,0,14
12,0.826,0.821,0.5,0.5,0.841,0.843,0.703,0.77,0.5,0.530097472487747,0.5,20,0,15
13,0.832,0.824,0.5,0.5,0.84,0.84,0.599,0.699,0.5102442176812657,0.5435254486072378,0.5,20,0,16
14,0.827,0.822,0.5,0.5,0.838,0.84,0.783,0.782,0.5094755930890447,0.5192307692307692,0.5,20,0,17
15,0.833,0.817,0.5,0.5,0.835,0.839,0.68,0.766,0.5002526649754077,0.5090663192596445,0.5,20,0,18
16,0.832,0.815,0.5,0.5,0.839,0.838,0.619,0.757,0.5084475212597129,0.535690540716238,0.5,20,0,19
17,0.835,0.819,0.5,0.5,0.839,0.84,0.771,0.761,0.5,0.5244541647823365,0.5,20,0,20
18,0.832,0.823,0.5,0.5,0.841,0.841,0.771,0.766,0.5,0.5310619301551079,0.5,20,0,21
19,0.833,0.819,0.5,0.5,0.838,0.837,0.684,0.778,0.5,0.5291796643616637,0.5,20,0,22
20,0.835,0.825,0.5,0.5,0.838,0.837,0.752,0.773,0.5066385823789159,0.5203635895110195,0.5,20,0,23
21,0.836,0.827,0.5,0.5,0.84,0.839,0.765,0.771,0.506301725365754,0.5192921615239365,0.5,20,0,24
22,0.833,0.827,0.5,0.5,0.838,0.836,0.77,0.775,0.5120996859417926,0.5183293430127018,0.5,20,0,25
23,0.832,0.822,0.5,0.5,0.841,0.835,0.748,0.746,0.5057214786635826,0.511534656148413,0.5,20,0,26
24,0.833,0.821,0.5,0.5,0.84,0.839,0.734,0.738,0.5164902503294652,0.5110204457959464,0.5,20,0,27
25,0.834,0.823,0.5,0.5,0.843,0.837,0.766,0.766,0.5169989222308913,0.5113636363636365,0.5,20,0,28
26,0.839,0.824,0.5,0.5,0.84,0.839,0.791,0.783,0.5162630405269446,0.5113790831244426,0.5,20,0,29
27,0.842,0.824,0.5,0.5,0.841,0.84,0.798,0.799,0.5104166666666667,0.5108697144496368,0.5,20,0,30
28,0.842,0.823,0.5,0.5,0.84,0.841,0.789,0.797,0.5101564194432773,0.51573034254406,0.5,20,0,31
29,0.834,0.824,0.5,0.5,0.846,0.836,0.792,0.796,0.5148409189926846,0.530106572085191,0.5,20,0,32
30,0.832,0.814,0.5,0.5,0.841,0.83,0.794,0.784,0.509319165710855,0.524431046983197,0.5,20,0,33
31,0.831,0.811,0.5,0.5,0.841,0.833,0.762,0.761,0.5044913830720257,0.5100525067045835,0.5,20,0,34
32,0.835,0.812,0.5,0.5,0.84,0.833,0.746,0.747,0.5135854736844337,0.5096631160095029,0.5,20,0,35
33,0.84,0.818,0.5,0.5,0.84,0.832,0.758,0.761,0.5139496199535741,0.5000748491535081,0.5,20,0,36
34,0.842,0.823,0.5,0.5,0.839,0.833,0.771,0.771,0.5262244972076642,0.4957875969843446,0.5,20,0,37
35,0.834,0.824,0.5,0.5,0.84,0.841,0.788,0.789,0.5134609741506253,0.513888821230128,0.5,20,0,38
36,0.835,0.823,0.5,0.5,0.84,0.841,0.779,0.778,0.5175697531480994,0.5133965723451973,0.5,20,0,39
37,0.832,0.82,0.5,0.5,0.841,0.84,0.763,0.767,0.51697885609178,0.5172629169853106,0.5,20,0,40
38,0.835,0.821,0.5,0.5,0.84,0.844,0.787,0.786,0.5208437707243176,0.5216700414171179,0.5,20,0,41
39,0.835,0.825,0.5,0.5,0.84,0.844,0.783,0.786,0.536511070266941,0.5214464284717928,0.5,20,0,42
40,0.836,0.827,0.5,0.5,0.84,0.843,0.787,0.79,0.5348670261190283,0.5165561832656532,0.5,20,0,43
41,0.833,0.821,0.5,0.5,0.844,0.843,0.793,0.798,0.5260251634895431,0.5227272727272727,0.5,20,0,44
42,0.833,0.823,0.5,0.5,0.843,0.844,0.775,0.782,0.5217255065300554,0.5155407978095459,0.5,20,0,45
43,0.834,0.824,0.5,0.5,0.84,0.84,0.783,0.783,0.5211159395938891,0.518873604451932,0.5,20,0,46
44,0.834,0.823,0.5,0.5,0.841,0.841,0.756,0.758,0.5145118934086608,0.5184720015431138,0.5,20,0,47
45,0.835,0.824,0.5,0.5,0.84,0.84,0.747,0.754,0.514105753560754,0.5179386986279952,0.5,20,0,48
46,0.833,0.821,0.5,0.5,0.84,0.841,0.743,0.749,0.5137216268983267,0.5174354069788645,0.5,20,0,49
47,0.835,0.823,0.5,0.5,0.841,0.84,0.744,0.751,0.5168414866652764,0.5169596601106161,0.5,20,0,50
48,0.834,0.823,0.5,0.5,0.84,0.842,0.763,0.76,0.5299288795781283,0.5238010089705402,0.5,20,0,51
49,0.834,0.826,0.5,0.5,0.84,0.842,0.755,0.757,0.5321166107342412,0.5231686651857193,0.5,20,0,52
50,0.834,0.822,0.5,0.5,0.842,0.844,0.755,0.76,0.5211884970546701,0.5225690994064769,0.5,20,0,53
51,0.834,0.827,0.5,0.5,0.843,0.846,0.759,0.768,0.5178571428571428,0.5219998263856078,0.5,20,0,54
52,0.836,0.828,0.5,0.5,0.84,0.847,0.774,0.783,0.5269104037218867,0.518755314296838,0.5,20,0,55
53,0.834,0.83,0.5,0.5,0.84,0.845,0.778,0.78,0.5262829514194476,0.5214252315808449,0.5,20,0,56
54,0.836,0.831,0.5,0.5,0.841,0.846,0.773,0.781,0.5287675538160397,0.5209110811400711,0.5,20,0,57
55,0.837,0.83,0.5,0.5,0.841,0.845,0.781,0.788,0.528120748036826,0.5254743490121803,0.5,20,0,58
56,0.838,0.827,0.5,0.5,0.841,0.845,0.796,0.799,0.5245645133886314,0.5167633736667259,0.5,20,0,59
57,0.838,0.829,0.5,0.5,0.841,0.846,0.808,0.809,0.5188990290786633,0.5192299201023076,0.5,20,0,60
