,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
0,0.737,0.505,0.842,0.844,0.829,0.821,0.829,0.821,0.5,0.4571067811865475,0.5,20,0,3
1,0.762,0.613,0.842,0.844,0.819,0.817,0.819,0.817,0.5317541634481457,0.46824583655185426,0.5,20,0,4
2,0.821,0.72,0.842,0.844,0.84,0.84,0.839,0.844,0.525255128608411,0.47474487139158905,0.5,20,0,5
3,0.836,0.723,0.842,0.844,0.848,0.846,0.849,0.847,0.520980054225096,0.520980054225096,0.5,20,0,6
4,0.832,0.71,0.842,0.844,0.846,0.839,0.848,0.842,0.5179491924311227,0.5179491924311227,0.5,20,0,7
5,0.834,0.814,0.842,0.844,0.847,0.846,0.848,0.847,0.5156865167015571,0.5156865167015571,0.5,20,0,8
6,0.832,0.809,0.842,0.844,0.847,0.846,0.846,0.848,0.5139320225002103,0.5139320225002103,0.5,20,0,9
7,0.832,0.795,0.842,0.844,0.843,0.843,0.846,0.844,0.525255128608411,0.525255128608411,0.5,20,0,10
8,0.812,0.789,0.842,0.844,0.836,0.837,0.842,0.84,0.5229182717010039,0.5229182717010039,0.5,20,0,11
9,0.807,0.799,0.842,0.844,0.838,0.84,0.839,0.839,0.5197918449530334,0.5257084509036949,0.5,20,0,12
10,0.813,0.809,0.842,0.844,0.836,0.837,0.839,0.841,0.5227272727272727,0.5227272727272727,0.5,20,0,13
11,0.81,0.799,0.842,0.844,0.832,0.831,0.836,0.833,0.5196050725845499,0.5386248506695326,0.5,20,0,14
12,0.823,0.809,0.842,0.844,0.837,0.836,0.839,0.839,0.5192307692307693,0.5239101437264537,0.5,20,0,15
13,0.834,0.827,0.842,0.844,0.846,0.84,0.846,0.842,0.5092614445937558,0.5230043774713047,0.5,20,0,16
14,0.834,0.834,0.842,0.844,0.848,0.844,0.847,0.844,0.5232409751370247,0.5202674264804655,0.5,20,0,17
15,0.838,0.839,0.842,0.844,0.848,0.842,0.848,0.842,0.49212260301812905,0.5079192982477516,0.5,20,0,18
16,0.838,0.837,0.842,0.844,0.848,0.842,0.847,0.841,0.49106591351563667,0.5182089791308124,0.5,20,0,19
17,0.834,0.838,0.842,0.844,0.844,0.839,0.844,0.839,0.49163979876083186,0.4916144930162495,0.5,20,0,20
18,0.837,0.836,0.842,0.844,0.848,0.841,0.848,0.841,0.49214589767468697,0.5056499672201251,0.5,20,0,21
19,0.841,0.834,0.842,0.844,0.847,0.842,0.848,0.841,0.4816242501192334,0.5075567642954093,0.5,20,0,22
20,0.84,0.835,0.842,0.844,0.847,0.845,0.848,0.844,0.4810052652955776,0.5056734971176674,0.5,20,0,23
21,0.844,0.832,0.842,0.844,0.85,0.842,0.85,0.842,0.5072125165716369,0.5158635639164939,0.5,20,0,24
22,0.841,0.836,0.842,0.844,0.848,0.841,0.848,0.843,0.5065438348598096,0.5123506058092233,0.5,20,0,25
23,0.841,0.837,0.842,0.844,0.848,0.84,0.848,0.84,0.505617618136236,0.5091415140878176,0.5,20,0,26
24,0.84,0.838,0.842,0.844,0.849,0.844,0.848,0.844,0.5036794746043087,0.4939424206790062,0.5,20,0,27
25,0.837,0.837,0.842,0.844,0.849,0.842,0.851,0.843,0.49893089991860595,0.4888820822535264,0.5,20,0,28
26,0.837,0.838,0.842,0.844,0.85,0.846,0.851,0.846,0.49941076166177556,0.49007443522186944,0.5,20,0,29
27,0.844,0.837,0.842,0.844,0.85,0.845,0.849,0.845,0.5114733179092488,0.49764765153388046,0.5,20,0,30
28,0.844,0.84,0.842,0.844,0.848,0.845,0.848,0.846,0.4984502382693635,0.4983471485355367,0.5,20,0,31
29,0.854,0.845,0.842,0.844,0.848,0.848,0.848,0.848,0.5097255035979116,0.5083804764423016,0.5,20,0,32
30,0.853,0.847,0.842,0.844,0.85,0.849,0.85,0.848,0.5150501272214363,0.5114015836776014,0.5,20,0,33
31,0.851,0.847,0.842,0.843,0.85,0.849,0.85,0.849,0.5137429497605124,0.5053087505390716,0.5,20,0,34
32,0.852,0.846,0.842,0.843,0.849,0.849,0.849,0.849,0.5127461435754249,0.5161346676226253,0.5,20,0,35
33,0.852,0.846,0.842,0.843,0.85,0.849,0.85,0.849,0.5116105578905863,0.5157868924621332,0.5,20,0,36
34,0.851,0.846,0.842,0.843,0.848,0.848,0.848,0.848,0.5073525237319778,0.5145117714890776,0.5,20,0,37
35,0.85,0.848,0.842,0.843,0.851,0.85,0.851,0.851,0.4990835690395875,0.5045938856083008,0.5,20,0,38
36,0.85,0.848,0.842,0.843,0.85,0.85,0.85,0.85,0.500748585731544,0.5023226829542691,0.5,20,0,39
37,0.85,0.848,0.842,0.843,0.85,0.851,0.851,0.851,0.5088026885522167,0.50062210856528,0.5,20,0,40
38,0.848,0.845,0.842,0.843,0.85,0.85,0.85,0.85,0.5072366907869477,0.4990496131157066,0.5,20,0,41
39,0.85,0.843,0.842,0.843,0.85,0.849,0.85,0.85,0.512779788834859,0.5050105452754281,0.5,20,0,42
40,0.848,0.846,0.842,0.843,0.849,0.851,0.849,0.851,0.5095639402693841,0.506900556904747,0.5,20,0,43
41,0.852,0.841,0.842,0.843,0.85,0.848,0.85,0.847,0.5056260848418168,0.5025734098766145,0.5,20,0,44
42,0.851,0.841,0.842,0.843,0.851,0.85,0.85,0.85,0.5116308962789754,0.5046041754580065,0.5,20,0,45
43,0.849,0.846,0.842,0.843,0.851,0.849,0.851,0.849,0.5024040478386114,0.507356721916328,0.5,20,0,46
44,0.847,0.845,0.842,0.843,0.85,0.85,0.85,0.849,0.5072357282813119,0.5078832568766345,0.5,20,0,47
45,0.847,0.843,0.842,0.843,0.852,0.85,0.852,0.85,0.5062003075183246,0.5068490414590331,0.5,20,0,48
46,0.847,0.842,0.842,0.843,0.85,0.85,0.85,0.85,0.5060982489321159,0.5063574728267553,0.5,20,0,49
47,0.845,0.84,0.842,0.843,0.852,0.851,0.852,0.851,0.504970720861988,0.5041859533020618,0.5,20,0,50
48,0.843,0.841,0.842,0.843,0.851,0.851,0.851,0.851,0.4966681709472642,0.5036368251467892,0.5,20,0,51
49,0.848,0.842,0.842,0.843,0.851,0.85,0.85,0.85,0.5088069051602984,0.5058516529524592,0.5,20,0,52
50,0.847,0.843,0.842,0.843,0.851,0.847,0.851,0.847,0.5102365256321222,0.511642004726377,0.5,20,0,53
51,0.848,0.848,0.842,0.843,0.85,0.85,0.849,0.851,0.5076598678610929,0.5032348321938327,0.5,20,0,54
52,0.849,0.847,0.842,0.843,0.852,0.85,0.851,0.849,0.4989289315812291,0.5035628568094852,0.5,20,0,55
53,0.849,0.846,0.842,0.843,0.85,0.849,0.85,0.849,0.5043951088157286,0.5017342107052858,0.5,20,0,56
54,0.848,0.842,0.842,0.843,0.851,0.848,0.851,0.85,0.5007142162602497,0.5041164708392891,0.5,20,0,57
55,0.849,0.845,0.842,0.843,0.851,0.849,0.852,0.849,0.5008617241820881,0.5047153124541577,0.5,20,0,58
56,0.85,0.841,0.842,0.843,0.852,0.851,0.852,0.849,0.4951818161265501,0.5054921809078605,0.5,20,0,59
57,0.849,0.845,0.842,0.843,0.85,0.85,0.85,0.85,0.5016519992016539,0.5110372484269504,0.5,20,0,60
58,0.85,0.846,0.842,0.843,0.851,0.851,0.851,0.851,0.501806289342221,0.5094346977550728,0.5,20,0,61
59,0.85,0.845,0.842,0.843,0.852,0.852,0.852,0.851,0.5022839776112131,0.5041036101038319,0.5,20,0,62
60,0.85,0.843,0.842,0.843,0.851,0.851,0.851,0.851,0.4960153546662449,0.5045589698584262,0.5,20,0,63
61,0.849,0.844,0.842,0.843,0.85,0.852,0.851,0.85,0.49639055045344205,0.5047265602489339,0.5,20,0,64
62,0.848,0.848,0.842,0.843,0.851,0.85,0.851,0.85,0.5017122280990421,0.5035767156610985,0.5,20,0,65
63,0.849,0.848,0.842,0.843,0.851,0.85,0.851,0.85,0.5017700129395237,0.5042880897805668,0.5,20,0,66
64,0.848,0.847,0.842,0.843,0.851,0.85,0.851,0.85,0.5010828054061223,0.5043280314123,0.5,20,0,67
65,0.848,0.847,0.842,0.843,0.85,0.85,0.851,0.85,0.5012818512669746,0.5036018019740626,0.5,20,0,68
66,0.849,0.847,0.842,0.843,0.851,0.85,0.851,0.851,0.5009304863956716,0.5029377801552886,0.5,20,0,69
67,0.848,0.847,0.842,0.843,0.851,0.851,0.851,0.851,0.5007099271976782,0.5034928243447638,0.5,20,0,70
68,0.848,0.849,0.842,0.843,0.851,0.852,0.851,0.852,0.5049994068268833,0.5027014880867723,0.5,20,0,71
69,0.848,0.851,0.842,0.843,0.851,0.85,0.851,0.851,0.5003276284573727,0.5012164529685852,0.5,20,0,72
70,0.847,0.848,0.842,0.843,0.852,0.851,0.853,0.851,0.5048817342751037,0.5002086688740962,0.5,20,0,73
71,0.848,0.851,0.842,0.843,0.852,0.851,0.852,0.851,0.5043220953761038,0.5004262133407283,0.5,20,0,74
72,0.848,0.848,0.842,0.843,0.853,0.851,0.853,0.851,0.5041180257576863,0.5052273911322083,0.5,20,0,75
73,0.849,0.853,0.842,0.843,0.852,0.851,0.852,0.852,0.5041421728588542,0.5064178867956382,0.5,20,0,76
74,0.85,0.854,0.842,0.843,0.852,0.851,0.852,0.852,0.5047351894613312,0.5062868442183137,0.5,20,0,77
75,0.85,0.854,0.842,0.843,0.852,0.851,0.852,0.851,0.5038893705032725,0.5055203374585285,0.5,20,0,78
76,0.848,0.853,0.842,0.843,0.851,0.851,0.851,0.851,0.503745962834226,0.5103908190117813,0.5,20,0,79
77,0.849,0.851,0.842,0.843,0.85,0.851,0.85,0.851,0.5030541089510003,0.510006608941739,0.5,20,0,80
78,0.848,0.851,0.842,0.843,0.849,0.851,0.849,0.851,0.502988348927974,0.5098643725049569,0.5,20,0,81
79,0.85,0.854,0.842,0.843,0.851,0.851,0.852,0.851,0.5036141619497124,0.5094523890480003,0.5,20,0,82
80,0.848,0.853,0.842,0.843,0.851,0.851,0.851,0.851,0.502545625938376,0.5091193869509798,0.5,20,0,83
81,0.85,0.853,0.842,0.843,0.851,0.851,0.852,0.851,0.502488900160622,0.5047711910388387,0.5,20,0,84
82,0.851,0.855,0.842,0.843,0.851,0.852,0.851,0.852,0.5027315587129786,0.5008740778476064,0.5,20,0,85
83,0.851,0.854,0.842,0.843,0.85,0.851,0.851,0.851,0.5022241336323996,0.5009808912754123,0.5,20,0,86
84,0.85,0.854,0.842,0.843,0.85,0.852,0.851,0.851,0.5020868028109133,0.5006895753460323,0.5,20,0,87
85,0.85,0.853,0.842,0.843,0.85,0.852,0.848,0.852,0.5029866621221415,0.5045339116313251,0.5,20,0,88
86,0.851,0.853,0.842,0.843,0.848,0.852,0.848,0.851,0.5028478793373273,0.5080763713334409,0.5,20,0,89
87,0.853,0.85,0.842,0.843,0.848,0.849,0.848,0.85,0.5027046227575672,0.5067632207752293,0.5,20,0,90
88,0.851,0.852,0.842,0.843,0.848,0.851,0.848,0.851,0.5029359082399298,0.5070976290520751,0.5,20,0,91
89,0.852,0.851,0.842,0.843,0.849,0.849,0.849,0.849,0.5025967900905475,0.510290517162091,0.5,20,0,92
90,0.852,0.849,0.842,0.843,0.85,0.848,0.85,0.849,0.5027917605395016,0.511347296964468,0.5,20,0,93
91,0.853,0.849,0.842,0.843,0.85,0.848,0.85,0.849,0.5025441042105254,0.5105818333297976,0.5,20,0,94
92,0.853,0.85,0.842,0.843,0.85,0.849,0.851,0.85,0.5024515864871907,0.5107089770557565,0.5,20,0,95
93,0.854,0.849,0.842,0.843,0.851,0.849,0.851,0.851,0.5050873483113276,0.5093420515112304,0.5,20,0,96
94,0.85,0.852,0.842,0.843,0.848,0.853,0.849,0.852,0.5057637143853172,0.5071224469992874,0.5,20,0,97
