,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
0,0.814,0.82,0.513,0.512,0.84,0.79,0.813,0.779,[0.51250921 0.51250921],[0.5        0.54816625],[0.5        0.52055394],[0.5 0.5],0.5,20,51,3,0.5125092059160226,0.5240831267663122,0.5102769692876193,0.5
1,0.815,0.776,0.513,0.512,0.818,0.833,0.834,0.836,[0.52640689 0.52640689],[0.55500748 0.5378908 ],[0.52640689 0.55358726],[0.55814844 0.53208689],0.5,20,51,4,0.5264068897441496,0.5464491410681758,0.5399970759749136,0.5451176661612669
2,0.814,0.782,0.513,0.512,0.81,0.83,0.833,0.828,[0.54318819 0.54318819],[0.54547445 0.57419015],[0.54318819 0.5949564 ],[0.54819664 0.54778004],0.5,20,51,5,0.5431881894062724,0.5598323025740704,0.5690722951925034,0.5479883413896383
3,0.833,0.75,0.513,0.512,0.833,0.837,0.843,0.841,[0.5557586 0.5557586],[0.56638617 0.56516185],[0.5557586  0.58355089],[0.5715615  0.55982079],0.5,20,51,6,0.5557586019988419,0.56577400558721,0.5696547445691758,0.5656911473305776
4,0.834,0.756,0.513,0.512,0.838,0.831,0.832,0.827,[0.56591696 0.56591696],[0.58322769 0.57845055],[0.56591696 0.59518678],[0.58117218 0.56763359],0.5,20,51,7,0.5659169588399143,0.5808391170002304,0.5805518680872889,0.57440288804701
5,0.841,0.834,0.513,0.512,0.839,0.836,0.827,0.834,[0.5344944  0.56602436],[0.55124951 0.54764079],[0.57449679 0.58190405],[0.58933182 0.58964284],0.5,20,51,8,0.550259382143327,0.5494451538882159,0.5782004160549867,0.5894873318011231
6,0.84,0.837,0.513,0.512,0.833,0.836,0.842,0.841,[0.54762213 0.55416103],[0.55900873 0.56057654],[0.58195653 0.58195653],[0.59327753 0.59868965],0.5,20,51,9,0.5508915799421782,0.559792633924405,0.58195652843061,0.5959835931473614
7,0.84,0.835,0.513,0.512,0.832,0.834,0.843,0.835,[0.5585494  0.57618659],[0.56430725 0.56430725],[0.5585494 0.5585494],[0.56576531 0.5732226 ],0.5,20,51,10,0.5673679927419795,0.5643072520982038,0.5585493995874363,0.5694939542974302
8,0.836,0.838,0.513,0.512,0.831,0.833,0.838,0.83,[0.59454263 0.59454263],[0.57385577 0.57293837],[0.56789471 0.57303147],[0.57694543 0.5823488 ],0.5,20,51,11,0.594542628725251,0.5733970685150039,0.5704630899727159,0.5796471169265462
9,0.836,0.839,0.513,0.512,0.83,0.831,0.827,0.823,[0.62344285 0.61860518],[0.6052892  0.60445533],[0.57605472 0.58068639],[0.58185597 0.58817734],0.5,20,51,12,0.6210240156948961,0.604872263733033,0.5783705553946045,0.5850166570695785
