,Unnamed: 0,wTargetMeanQDA,wTargetCovQDA,tPropQDA,AccLDAInd,AccQDAInd,AccLDAMulti,AccQDAMulti,AccLDAProp,AccQDAProp,AccLDALiu,AccQDALiu,AccLDAVidovic,AccQDAVidovic,person,times,shots
0,0,0.75,0.5,3.974565982818604,0.74,0.504,0.5,0.5,0.5,0.5,0.5,0.5,0.612,0.5,20.0,0.0,3.0
1,1,1.0,0.5264068897441496,3.533655405044556,0.852,0.8370000000000001,0.5,0.5,0.8370000000000001,0.836,0.5,0.5,0.503,0.5,20.0,0.0,4.0
2,2,1.0,0.5431881894062724,11.401413202285767,0.853,0.83,0.5,0.5,0.836,0.843,0.5,0.5,0.501,0.5,20.0,0.0,5.0
3,3,1.0,0.5557586019988419,20.879305362701412,0.836,0.84,0.5,0.5,0.845,0.8440000000000001,0.5,0.597,0.503,0.604,20.0,0.0,6.0
4,4,1.0,0.5659169588399143,4.220355987548828,0.852,0.8320000000000001,0.5,0.5,0.857,0.8440000000000001,0.5,0.518,0.5,0.47,20.0,0.0,7.0
5,5,1.0,0.604889235354715,4.322211980819701,0.853,0.8270000000000001,0.5,0.5,0.856,0.846,0.5,0.505,0.5,0.486,20.0,0.0,8.0
6,6,1.0,0.6217790980057742,4.532569885253906,0.8490000000000001,0.8170000000000001,0.5,0.5,0.853,0.84,0.5,0.537,0.5,0.48700000000000004,20.0,0.0,9.0
7,7,1.0,0.5599814813487075,4.476335525512695,0.84,0.823,0.5,0.5,0.8390000000000001,0.836,0.5,0.569,0.5,0.496,20.0,0.0,10.0
8,8,1.0,0.5609690647933764,5.105900049209595,0.8370000000000001,0.831,0.5,0.5,0.835,0.836,0.5,0.507,0.5,0.41200000000000003,20.0,0.0,11.0
9,9,1.0,0.599982639915076,5.160386323928833,0.8390000000000001,0.835,0.5,0.5,0.8440000000000001,0.838,0.5,0.5,0.501,0.23399999999999999,20.0,0.0,12.0
10,10,1.0,0.6049902042564328,5.6115849018096915,0.8390000000000001,0.8320000000000001,0.5,0.5,0.84,0.836,0.5,0.507,0.5,0.374,20.0,0.0,13.0
11,11,1.0,0.6096353004590461,5.88458776473999,0.8420000000000001,0.845,0.5,0.5,0.8490000000000001,0.8490000000000001,0.5,0.527,0.5,0.536,20.0,0.0,14.0
12,12,1.0,0.613971812263448,7.025667428970338,0.852,0.8390000000000001,0.5,0.5,0.855,0.851,0.5,0.493,0.5,0.498,20.0,0.0,15.0
13,13,1.0,0.594832506064349,5.501001119613648,0.848,0.835,0.5,0.5,0.853,0.852,0.5,0.5,0.5,0.5,20.0,0.0,16.0
14,14,1.0,0.6242340436660813,65.54909420013428,0.838,0.833,0.5,0.5,0.848,0.85,0.5,0.49700000000000005,0.5,0.5,20.0,0.0,17.0
15,15,1.0,0.6038045947084951,7.774536609649657,0.84,0.838,0.5,0.5,0.8490000000000001,0.851,0.5,0.483,0.5,0.499,20.0,0.0,18.0
16,16,1.0,0.6091067364570406,8.628682613372803,0.847,0.8390000000000001,0.5,0.5,0.853,0.853,0.5,0.485,0.5,0.5,20.0,0.0,19.0
17,17,1.0,0.6184740731519259,8.094013452529907,0.8420000000000001,0.8340000000000001,0.5,0.5,0.853,0.851,0.5,0.484,0.5,0.5,20.0,0.0,20.0
18,18,1.0,0.6405391351066732,8.002412080764769,0.843,0.8270000000000001,0.5,0.5,0.8440000000000001,0.846,0.5,0.491,0.5,0.5,20.0,0.0,21.0
19,19,1.0,0.6405063784556942,7.837628126144409,0.843,0.8290000000000001,0.5,0.5,0.846,0.846,0.5,0.455,0.5,0.498,20.0,0.0,22.0
20,20,1.0,0.6436486558823841,8.593409776687622,0.8420000000000001,0.836,0.5,0.5,0.846,0.847,0.5,0.392,0.5,0.489,20.0,0.0,23.0
21,21,1.0,0.6561887794032897,9.504925966262816,0.8370000000000001,0.836,0.5,0.5,0.847,0.848,0.5,0.44,0.5,0.478,20.0,0.0,24.0
22,22,1.0,0.657350344942008,9.342896699905397,0.8370000000000001,0.836,0.5,0.5,0.848,0.8490000000000001,0.5,0.434,0.5,0.48700000000000004,20.0,0.0,25.0
23,23,1.0,0.6565157111333001,96.01467990875244,0.841,0.83,0.5,0.5,0.846,0.848,0.5,0.489,0.5,0.498,20.0,0.0,26.0
24,24,1.0,0.6612536525427588,54.26989912986755,0.848,0.83,0.5,0.5,0.853,0.845,0.5,0.49700000000000005,0.5,0.498,20.0,0.0,27.0
25,25,1.0,0.6610874589985835,97.09428143501282,0.8490000000000001,0.8270000000000001,0.5,0.5,0.852,0.845,0.5,0.495,0.5,0.498,20.0,0.0,28.0
26,26,1.0,0.6585545039261032,104.99965524673462,0.8370000000000001,0.8220000000000001,0.5,0.5,0.848,0.845,0.5,0.493,0.5,0.49700000000000005,20.0,0.0,29.0
27,27,1.0,0.6617825828917624,83.48072028160095,0.835,0.818,0.5,0.5,0.841,0.8390000000000001,0.5,0.495,0.5,0.5,20.0,0.0,30.0
28,28,1.0,0.6633313136365414,52.27822971343994,0.836,0.8190000000000001,0.5,0.5,0.843,0.8390000000000001,0.5,0.493,0.5,0.5,20.0,0.0,31.0
29,29,1.0,0.6666770712049195,43.58782482147217,0.835,0.825,0.5,0.5,0.841,0.838,0.5,0.495,0.5,0.5,20.0,0.0,32.0
30,30,1.0,0.6691230173765822,6.924191474914551,0.836,0.8270000000000001,0.5,0.5,0.845,0.841,0.5,0.493,0.5,0.5,20.0,0.0,33.0
31,31,1.0,0.6816531889413497,6.732879877090454,0.831,0.823,0.5,0.5,0.838,0.838,0.5,0.493,0.5,0.5,20.0,0.0,34.0
32,32,1.0,0.6717950737316329,6.906206607818604,0.833,0.823,0.5,0.5,0.8440000000000001,0.8420000000000001,0.5,0.493,0.5,0.5,20.0,0.0,35.0
33,33,1.0,0.6715360890224036,7.056071519851685,0.8390000000000001,0.823,0.5,0.5,0.85,0.8440000000000001,0.5,0.495,0.5,0.5,20.0,0.0,36.0
34,34,1.0,0.6815628040323325,6.229755640029907,0.841,0.835,0.5,0.5,0.8490000000000001,0.847,0.5,0.45399999999999996,0.5,0.484,20.0,0.0,37.0
35,35,1.0,0.6830040420001777,7.47304105758667,0.848,0.835,0.5,0.5,0.847,0.846,0.5,0.49200000000000005,0.5,0.466,20.0,0.0,38.0
36,36,1.0,0.6865462067429449,7.668542146682738,0.846,0.838,0.5,0.5,0.848,0.847,0.5,0.521,0.5,0.45299999999999996,20.0,0.0,39.0
37,37,1.0,0.6823772768942831,6.701457738876343,0.84,0.833,0.5,0.5,0.848,0.848,0.5,0.561,0.5,0.45799999999999996,20.0,0.0,40.0
38,38,1.0,0.6845808629195071,6.812667846679688,0.848,0.831,0.5,0.5,0.8490000000000001,0.845,0.5,0.5579999999999999,0.5,0.47100000000000003,20.0,0.0,41.0
39,39,1.0,0.6852545863049926,22.330743551254272,0.847,0.8320000000000001,0.5,0.5,0.85,0.845,0.5,0.569,0.5,0.45899999999999996,20.0,0.0,42.0
40,40,1.0,0.6797639792234873,30.090752840042114,0.848,0.841,0.5,0.5,0.8490000000000001,0.848,0.5,0.562,0.5,0.447,20.0,0.0,43.0
41,41,1.0,0.6880911309429352,12.198507070541382,0.848,0.84,0.5,0.5,0.8490000000000001,0.848,0.5,0.561,0.5,0.461,20.0,0.0,44.0
42,42,1.0,0.691471380290813,4.747862815856934,0.847,0.84,0.5,0.5,0.85,0.8490000000000001,0.5,0.539,0.5,0.44799999999999995,20.0,0.0,45.0
43,43,1.0,0.6748179452518123,3.961238861083984,0.847,0.84,0.5,0.5,0.8540000000000001,0.8490000000000001,0.5,0.529,0.5,0.522,20.0,0.0,46.0
44,44,1.0,0.6763310238811928,3.9099180698394775,0.845,0.8370000000000001,0.5,0.5,0.852,0.848,0.5,0.53,0.5,0.521,20.0,0.0,47.0
45,45,1.0,0.6806861429854656,2.7185873985290527,0.8440000000000001,0.843,0.5,0.5,0.851,0.848,0.5,0.524,0.5,0.498,20.0,0.0,48.0
46,46,1.0,0.6811995736464169,2.7685396671295166,0.84,0.8440000000000001,0.5,0.5,0.85,0.847,0.5,0.523,0.5,0.491,20.0,0.0,49.0
47,47,1.0,0.6908585709945144,2.8175008296966557,0.8440000000000001,0.8390000000000001,0.5,0.5,0.851,0.85,0.5,0.523,0.5,0.47600000000000003,20.0,0.0,50.0
48,48,1.0,0.6853788192865833,2.403783082962036,0.845,0.845,0.5,0.5,0.852,0.851,0.5,0.526,0.5,0.434,20.0,0.0,51.0
49,49,1.0,0.6946438950579429,2.728423595428467,0.846,0.8440000000000001,0.5,0.5,0.852,0.852,0.5,0.519,0.5,0.433,20.0,0.0,52.0
50,0,1.0,0.5,2.6723265647888184,0.8490000000000001,0.721,0.5,0.5,0.8390000000000001,0.836,0.5,0.5,0.507,0.503,20.0,1.0,3.0
51,1,1.0,0.5264068897441496,3.021689414978028,0.848,0.812,0.5,0.5,0.846,0.845,0.5,0.5,0.502,0.5,20.0,1.0,4.0
52,2,1.0,0.5431881894062724,3.0245380401611333,0.8420000000000001,0.8390000000000001,0.5,0.5,0.846,0.8440000000000001,0.5,0.517,0.503,0.54,20.0,1.0,5.0
53,3,1.0,0.5557586019988419,16.36223578453064,0.846,0.836,0.5,0.5,0.852,0.847,0.5,0.534,0.5,0.35,20.0,1.0,6.0
