,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.86,0.66,0.6475,0.86,0.6725,0.675,0.8568376068376067,0.9939252666525394,0.5,12,61,3
1,0.86,0.8475,0.8475,0.86,0.67,0.67,0.9709022038567494,0.9940495867768595,0.5,12,61,4
2,0.81,0.7925,0.79,0.8075,0.615,0.6175,0.9895946007257712,0.989599170653776,0.5,12,61,5
3,0.82,0.795,0.795,0.815,0.61,0.6125,0.984239699372044,0.984239699372044,0.5,12,61,6
4,0.8225,0.8125,0.81,0.8225,0.62,0.615,0.9843229738305483,0.9846780308570544,0.5,12,61,7
5,0.7875,0.77,0.77,0.7875,0.5875,0.6075,0.9825140033998345,0.9869083634459151,0.5,12,61,8
6,0.84,0.805,0.8,0.84,0.6375,0.63,0.9850325701037407,0.9862304101889203,0.5,12,61,9
7,0.8475,0.8,0.79,0.8325,0.6275,0.615,0.9804687607529485,0.9837514579344645,0.5,12,61,10
8,0.85,0.7975,0.7925,0.845,0.6375,0.6225,0.9793737312975831,0.9859181392147823,0.5,12,61,11
9,0.8525,0.7975,0.7925,0.845,0.65,0.6325,0.9803830396572025,0.9862224623908368,0.5,12,61,12
10,0.8475,0.8325,0.8225,0.85,0.6425,0.6325,0.9804657074177343,0.9837192147473486,0.5,12,61,13
11,0.86,0.85,0.8475,0.86,0.65,0.65,0.9818074009760557,0.9852690039825563,0.5,12,61,14
12,0.8525,0.8425,0.8375,0.85,0.6425,0.63,0.9816518156362902,0.9854323267016205,0.5,12,61,15
13,0.84,0.825,0.8275,0.8275,0.635,0.6275,0.9808702777922182,0.9856211492970071,0.5,12,61,16
14,0.855,0.845,0.8425,0.85,0.65,0.645,0.9818689928501656,0.9863379077107048,0.5,12,61,17
15,0.85,0.84,0.8375,0.8475,0.6425,0.635,0.9797577192253518,0.9849009059316851,0.5,12,61,18
16,0.85,0.8425,0.8375,0.85,0.6425,0.6325,0.9784490412375016,0.9836627626696807,0.5,12,61,19
17,0.85,0.8425,0.8425,0.8475,0.6425,0.64,0.9776341529752294,0.9836803745227349,0.5,12,61,20
18,0.8575,0.8425,0.845,0.855,0.66,0.66,0.9777172085949083,0.9841707364962841,0.5,12,61,21
19,0.855,0.8375,0.84,0.85,0.6525,0.6475,0.9772439934540849,0.9844664221345472,0.5,12,61,22
