,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.655,0.5425,0.5375,0.655,0.5,0.5,0.968294051627385,1.0,0.5,6,2,3
1,0.63,0.635,0.645,0.63,0.5,0.5,0.9959595959595959,1.0,0.5,6,2,4
2,0.64,0.6425,0.6425,0.64,0.5,0.5,1.0,1.0,0.5,6,2,5
3,0.635,0.6425,0.6425,0.635,0.5,0.5,0.9987105093488072,1.0,0.5,6,2,6
4,0.6425,0.645,0.645,0.6425,0.5,0.5,0.9988595633756925,1.0,0.5,6,2,7
5,0.64,0.645,0.645,0.64,0.5,0.5,0.9989771129011635,1.0,0.5,6,2,8
6,0.64,0.6375,0.6375,0.64,0.5,0.5,0.9990723562152133,1.0,0.5,6,2,9
7,0.64,0.63,0.63,0.64,0.5,0.5,1.0,1.0,0.5,6,2,10
8,0.6375,0.655,0.655,0.6375,0.5,0.5,1.0,1.0,0.5,6,2,11
9,0.63,0.6425,0.6425,0.63,0.5,0.49,1.0,1.0,0.5,6,2,12
10,0.635,0.6325,0.6325,0.635,0.5,0.5,1.0,1.0,0.5,6,2,13
11,0.63,0.6275,0.6275,0.63,0.5,0.505,1.0,1.0,0.5,6,2,14
12,0.6325,0.6225,0.6225,0.6325,0.5,0.5,1.0,1.0,0.5,6,2,15
13,0.6275,0.6275,0.6275,0.6275,0.5,0.5,1.0,1.0,0.5,6,2,16
14,0.62,0.62,0.62,0.62,0.5,0.5,1.0,1.0,0.5,6,2,17
15,0.6225,0.625,0.625,0.6225,0.5,0.5,1.0,1.0,0.5,6,2,18
16,0.62,0.625,0.625,0.62,0.5,0.5,1.0,1.0,0.5,6,2,19
17,0.62,0.6225,0.6225,0.62,0.5,0.5,1.0,1.0,0.5,6,2,20
18,0.62,0.625,0.625,0.62,0.5,0.5,1.0,1.0,0.5,6,2,21
19,0.6225,0.6225,0.6225,0.6225,0.5,0.5,1.0,1.0,0.5,6,2,22
20,0.6225,0.6275,0.6275,0.6225,0.5,0.5,1.0,1.0,0.5,6,2,23
21,0.62,0.63,0.63,0.62,0.5,0.5,1.0,1.0,0.5,6,2,24
22,0.62,0.6225,0.6225,0.62,0.5,0.5,1.0,1.0,0.5,6,2,25
23,0.6225,0.6325,0.6325,0.6225,0.5,0.5,1.0,1.0,0.5,6,2,26
24,0.6275,0.6275,0.6275,0.6275,0.5,0.5,1.0,1.0,0.5,6,2,27
25,0.6225,0.6225,0.6225,0.6225,0.5,0.5,1.0,1.0,0.5,6,2,28
26,0.6275,0.6225,0.6225,0.6275,0.5,0.5,1.0,1.0,0.5,6,2,29
27,0.6175,0.625,0.625,0.6175,0.5,0.5,1.0,1.0,0.5,6,2,30
28,0.6275,0.625,0.625,0.6275,0.5,0.5,1.0,1.0,0.5,6,2,31
29,0.6275,0.62,0.62,0.6275,0.5,0.5,1.0,1.0,0.5,6,2,32
30,0.6275,0.62,0.62,0.6275,0.5,0.5,1.0,1.0,0.5,6,2,33
31,0.625,0.6175,0.6175,0.625,0.5,0.5,1.0,1.0,0.5,6,2,34
32,0.63,0.6275,0.6275,0.63,0.5,0.5,1.0,1.0,0.5,6,2,35
33,0.625,0.63,0.63,0.625,0.5,0.5,1.0,1.0,0.5,6,2,36
34,0.625,0.6275,0.6275,0.625,0.5,0.5,1.0,1.0,0.5,6,2,37
35,0.6325,0.6325,0.6325,0.6325,0.5,0.5,1.0,1.0,0.5,6,2,38
36,0.6375,0.63,0.63,0.6375,0.5,0.5,1.0,1.0,0.5,6,2,39
37,0.6375,0.63,0.63,0.6375,0.5,0.5,1.0,1.0,0.5,6,2,40
38,0.63,0.635,0.635,0.63,0.5,0.5,1.0,1.0,0.5,6,2,41
39,0.6275,0.6375,0.6375,0.6275,0.5,0.5,1.0,1.0,0.5,6,2,42
40,0.6375,0.635,0.635,0.6375,0.5,0.5,1.0,1.0,0.5,6,2,43
41,0.64,0.635,0.635,0.64,0.5,0.5,1.0,1.0,0.5,6,2,44
42,0.6325,0.63,0.63,0.6325,0.5,0.5,1.0,1.0,0.5,6,2,45
43,0.6375,0.6325,0.6325,0.6375,0.5,0.5,1.0,1.0,0.5,6,2,46
44,0.635,0.635,0.635,0.635,0.5,0.5,1.0,1.0,0.5,6,2,47
45,0.6375,0.6325,0.6325,0.6375,0.5,0.5,1.0,1.0,0.5,6,2,48
46,0.64,0.63,0.63,0.64,0.5,0.5,1.0,1.0,0.5,6,2,49
47,0.63,0.6325,0.6325,0.63,0.5,0.5,1.0,1.0,0.5,6,2,50
48,0.6325,0.6325,0.6325,0.6325,0.5,0.5,1.0,1.0,0.5,6,2,51
49,0.6425,0.6375,0.6375,0.6425,0.5,0.5,1.0,1.0,0.5,6,2,52
