,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.58,0.575,0.5025,0.575,0.5,0.5,0.825196408529742,0.9907407407407408,0.5,4,44,3
1,0.575,0.5825,0.575,0.575,0.5,0.5,0.8910422910422907,0.9911255411255411,0.5,4,44,4
2,0.59,0.5175,0.52,0.59,0.5,0.5,0.982552800734619,0.9928855114613628,0.5,4,44,5
3,0.59,0.5175,0.52,0.5875,0.5,0.5,0.9804325304325304,0.9934964819331148,0.5,4,44,6
4,0.59,0.5275,0.5275,0.595,0.5,0.5,0.9859457639024201,0.9927735403925879,0.5,4,44,7
5,0.5875,0.5425,0.54,0.5925,0.5,0.5,0.9872867949312448,0.9943411386593205,0.5,4,44,8
6,0.575,0.5275,0.53,0.57,0.5,0.5,0.9872121915450671,0.9944830314752946,0.5,4,44,9
7,0.585,0.54,0.5375,0.585,0.5,0.52,0.9840638510400889,0.9889461977999753,0.5,4,44,10
8,0.59,0.55,0.55,0.5875,0.5,0.51,0.9837347001124812,0.9891029571273018,0.5,4,44,11
9,0.5575,0.5325,0.5325,0.5625,0.5,0.5125,0.9845058942734423,0.9897572581194687,0.5,4,44,12
10,0.59,0.5075,0.5275,0.5825,0.5,0.4825,0.988674753286876,0.987511064883978,0.5,4,44,13
11,0.5925,0.5425,0.55,0.59,0.5,0.4775,0.9878714543082059,0.9888425334375667,0.5,4,44,14
12,0.59,0.5675,0.5625,0.5925,0.5,0.455,0.9888497076120939,0.9895549172557614,0.5,4,44,15
13,0.5875,0.5525,0.55,0.585,0.5,0.48,0.9876843926182017,0.9880948484878446,0.5,4,44,16
14,0.575,0.54,0.535,0.5725,0.5,0.47,0.9865607812787974,0.9871041448467837,0.5,4,44,17
15,0.575,0.5425,0.5425,0.575,0.5,0.47,0.9864990238924894,0.9875754815397181,0.5,4,44,18
16,0.575,0.54,0.5425,0.5775,0.5,0.47,0.9865464507292095,0.988237414519129,0.5,4,44,19
17,0.5875,0.545,0.5525,0.5925,0.5,0.4725,0.9851740759733835,0.9865339482002988,0.5,4,44,20
18,0.5825,0.5375,0.535,0.575,0.5,0.465,0.9854341710626952,0.9867566888713173,0.5,4,44,21
19,0.58,0.545,0.5475,0.5825,0.5,0.4975,0.9864978716907614,0.9868321409718193,0.5,4,44,22
20,0.59,0.5425,0.5575,0.5875,0.5,0.4875,0.9860868465970095,0.9872306952149655,0.5,4,44,23
