,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.61,0.5425,0.455,0.61,0.5675,0.635,0.7053872053872055,0.9882154882154883,0.5,6,46,3
1,0.5925,0.585,0.5925,0.5925,0.58,0.62,0.966700975791885,0.9833111333111333,0.5,6,46,4
2,0.6175,0.5975,0.5975,0.615,0.545,0.6325,0.9611101251029949,0.9823378080953837,0.5,6,46,5
3,0.59,0.5875,0.58,0.59,0.54,0.6275,0.9626757306016893,0.9818427896312005,0.5,6,46,6
4,0.61,0.605,0.61,0.6075,0.54,0.6275,0.9585000396050417,0.9800423027232661,0.5,6,46,7
5,0.605,0.61,0.6125,0.605,0.54,0.615,0.9567691499494254,0.9806191785638623,0.5,6,46,8
6,0.66,0.64,0.6325,0.66,0.56,0.62,0.9659684591660334,0.9806515458922215,0.5,6,46,9
7,0.645,0.63,0.63,0.64,0.54,0.625,0.963289741635458,0.9793486544144087,0.5,6,46,10
8,0.6175,0.5975,0.595,0.615,0.54,0.6225,0.9641433819817345,0.9797733633365423,0.5,6,46,11
9,0.6525,0.61,0.5975,0.6525,0.5375,0.6175,0.9646542889253904,0.9809467881746221,0.5,6,46,12
10,0.6525,0.615,0.6025,0.65,0.5375,0.6175,0.9648184609320947,0.9814471603978961,0.5,6,46,13
11,0.6525,0.6275,0.63,0.6525,0.5625,0.625,0.9649799973046804,0.9813672570514996,0.5,6,46,14
12,0.6575,0.6375,0.635,0.655,0.5675,0.6175,0.966471572370106,0.98167434180036,0.5,6,46,15
13,0.6525,0.6325,0.6325,0.6525,0.5475,0.6325,0.9791830098060216,0.9819266512127028,0.5,6,46,16
14,0.655,0.6325,0.6325,0.6525,0.5725,0.63,0.9794566155026916,0.9818827649956402,0.5,6,46,17
15,0.64,0.625,0.6275,0.64,0.545,0.63,0.9792346022521609,0.9819772970309417,0.5,6,46,18
16,0.6375,0.65,0.6475,0.635,0.545,0.635,0.9803924473699945,0.9811735411828765,0.5,6,46,19
17,0.64,0.6425,0.645,0.635,0.545,0.63,0.9780919439600483,0.9789403884304619,0.5,6,46,20
18,0.6225,0.63,0.63,0.6225,0.545,0.6325,0.9783365942212338,0.9790231123375718,0.5,6,46,21
19,0.6175,0.63,0.63,0.62,0.5375,0.63,0.9787541717575118,0.979445689078984,0.5,6,46,22
20,0.6125,0.62,0.6175,0.6075,0.535,0.6175,0.9796514220689299,0.980620301392708,0.5,6,46,23
21,0.635,0.6375,0.6375,0.635,0.545,0.6275,0.9801951578429074,0.9807312641280099,0.5,6,46,24
22,0.66,0.6575,0.6575,0.6575,0.575,0.62,0.9804340720152452,0.9807901410973927,0.5,6,46,25
23,0.6575,0.6575,0.66,0.6575,0.575,0.615,0.9810013544725698,0.9808271084797759,0.5,6,46,26
24,0.6525,0.6425,0.6425,0.65,0.54,0.615,0.9807359533001413,0.9810103939640081,0.5,6,46,27
25,0.6525,0.65,0.65,0.65,0.565,0.615,0.9804990128903176,0.9809885215407081,0.5,6,46,28
