,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots,yPropL,yPropQ,yLiuQ,rPropQ,rPropL
0,0.79,0.768,,,0.826,,,,0.5,0,0,3,0.826,0.826,0.826,0.5,0.5
1,0.824,0.654,,,0.834,,,,0.5,0,0,4,0.834,0.828,0.828,0.5,0.5
2,0.828,0.728,,,0.838,,,,0.5,0,0,5,0.838,0.834,0.834,0.5,0.5
3,0.84,0.734,,,0.838,,,,0.5,0,0,6,0.838,0.834,0.834,0.5,0.5
4,0.83,0.814,,,0.836,,,,0.5,0,0,7,0.836,0.838,0.838,0.5,0.5
5,0.822,0.812,,,0.832,,,,0.5,0,0,8,0.834,0.842,0.84,0.5,0.5
6,0.83,0.81,,,0.84,,,,0.5,0,0,9,0.84,0.836,0.836,0.5,0.5
7,0.838,0.824,,,0.846,,,,0.5,0,0,10,0.846,0.842,0.842,0.5,0.5
8,0.844,0.816,,,0.84,,,,0.5,0,0,11,0.838,0.838,0.838,0.5,0.5
9,0.838,0.836,,,0.85,,,,0.5,0,0,12,0.85,0.848,0.848,0.5,0.5
10,0.848,0.85,,,0.846,,,,0.5,0,0,13,0.848,0.844,0.846,0.49528301886792453,0.49528301886792453
11,0.842,0.844,,,0.842,,,,0.5,0,0,14,0.84,0.842,0.838,0.4957627118644068,0.4957627118644068
12,0.846,0.844,,,0.846,,,,0.5,0,0,15,0.844,0.844,0.846,0.5064885496183207,0.5064885496183207
13,0.838,0.834,,,0.838,,,,0.5,0,0,16,0.838,0.838,0.838,0.5066371681415929,0.5066371681415929
14,0.846,0.826,,,0.844,,,,0.5,0,0,17,0.844,0.842,0.842,0.5104866562009419,0.5046182266009852
15,0.85,0.832,,,0.844,,,,0.5,0,0,18,0.844,0.844,0.842,0.5028195488721805,0.5028195488721805
16,0.85,0.83,,,0.848,,,,0.5,0,0,19,0.846,0.838,0.838,0.5012996219281664,0.5025992438563327
17,0.852,0.828,,,0.846,,,,0.5,0,0,20,0.844,0.842,0.838,0.5073789846517119,0.5
18,0.85,0.832,,,0.846,,,,0.5,0,0,21,0.846,0.838,0.834,0.5,0.5
19,0.852,0.834,,,0.846,,,,0.5,0,0,22,0.848,0.84,0.842,0.5,0.5
20,0.84,0.832,,,0.848,,,,0.5,0,0,23,0.848,0.844,0.844,0.5,0.5
21,0.84,0.834,,,0.846,,,,0.5,0,0,24,0.848,0.846,0.846,0.5,0.5
22,0.85,0.84,,,0.846,,,,0.5,0,0,25,0.846,0.846,0.846,0.5,0.5011904761904762
23,0.842,0.842,,,0.846,,,,0.5,0,0,26,0.848,0.844,0.846,0.5017523364485982,0.5017523364485982
24,0.846,0.842,,,0.844,,,,0.5,0,0,27,0.846,0.844,0.842,0.5,0.5
25,0.848,0.842,,,0.846,,,,0.5,0,0,28,0.848,0.844,0.844,0.49945652173913047,0.49945652173913047
26,0.848,0.844,,,0.846,,,,0.5,0,0,29,0.848,0.844,0.844,0.4994747899159664,0.4994747899159664
27,0.846,0.846,,,0.848,,,,0.5,0,0,30,0.848,0.846,0.846,0.5,0.4994918699186992
28,0.848,0.842,,,0.844,,,,0.5,0,0,31,0.842,0.842,0.842,0.49950787401574803,0.49950787401574803
29,0.848,0.846,,,0.848,,,,0.5,0,0,32,0.846,0.844,0.846,0.49859022556390975,0.4981203007518797
30,0.808,0.682,,,0.83,,,,0.5,0,1,3,0.83,0.83,0.83,0.5,0.5
31,0.812,0.796,,,0.838,,,,0.5,0,1,4,0.838,0.836,0.836,0.5,0.5
32,0.84,0.634,,,0.844,,,,0.5,0,1,5,0.844,0.838,0.838,0.5,0.5
33,0.838,0.706,,,0.838,,,,0.5,0,1,6,0.838,0.836,0.836,0.5,0.5
34,0.836,0.688,,,0.836,,,,0.5,0,1,7,0.838,0.846,0.842,0.5,0.5
35,0.838,0.826,,,0.844,,,,0.5,0,1,8,0.844,0.838,0.836,0.5055970149253731,0.5
36,0.84,0.824,,,0.838,,,,0.5,0,1,9,0.838,0.84,0.84,0.5074458483754513,0.5
37,0.838,0.814,,,0.838,,,,0.5,0,1,10,0.838,0.836,0.836,0.5,0.5
38,0.844,0.838,,,0.848,,,,0.5,0,1,11,0.85,0.848,0.848,0.5,0.5
39,0.85,0.844,,,0.846,,,,0.5,0,1,12,0.844,0.844,0.844,0.49489795918367346,0.49489795918367346
40,0.84,0.838,,,0.838,,,,0.5,0,1,13,0.838,0.84,0.84,0.4954545454545455,0.4954545454545455
41,0.844,0.842,,,0.846,,,,0.5,0,1,14,0.846,0.846,0.846,0.5071942446043165,0.5071942446043165
42,0.838,0.834,,,0.838,,,,0.5,0,1,15,0.838,0.84,0.84,0.5063736210833265,0.50736568457539
43,0.848,0.816,,,0.844,,,,0.5,0,1,16,0.844,0.834,0.836,0.5147077375283053,0.5050820256776034
44,0.85,0.822,,,0.844,,,,0.5,0,1,17,0.844,0.838,0.84,0.513563579277865,0.5046182266009852
45,0.85,0.82,,,0.846,,,,0.5,0,1,18,0.846,0.838,0.836,0.5117273806182641,0.5042293233082706
46,0.852,0.824,,,0.846,,,,0.5,0,1,19,0.846,0.836,0.834,0.5078375508573472,0.5012996219281664
47,0.848,0.83,,,0.846,,,,0.5,0,1,20,0.846,0.834,0.832,0.5,0.5
48,0.85,0.834,,,0.846,,,,0.5,0,1,21,0.848,0.838,0.838,0.5,0.5
49,0.842,0.832,,,0.848,,,,0.5,0,1,22,0.848,0.844,0.844,0.5,0.5
50,0.84,0.834,,,0.848,,,,0.5,0,1,23,0.848,0.846,0.846,0.5,0.5
51,0.85,0.838,,,0.844,,,,0.5,0,1,24,0.844,0.846,0.846,0.5,0.5
52,0.844,0.844,,,0.848,,,,0.5,0,1,25,0.846,0.844,0.846,0.5,0.5
53,0.848,0.844,,,0.844,,,,0.5,0,1,26,0.844,0.844,0.842,0.4994158878504673,0.4994158878504673
54,0.846,0.844,,,0.846,,,,0.5,0,1,27,0.848,0.844,0.844,0.49774774774774777,0.4988738738738739
55,0.848,0.844,,,0.848,,,,0.5,0,1,28,0.848,0.844,0.844,0.49869565217391304,0.49869565217391304
56,0.848,0.846,,,0.85,,,,0.5,0,1,29,0.852,0.846,0.846,0.49789915966386555,0.4989495798319328
