,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots,yPropL,yPropQ,yLiuQ,rPropQ,rPropL
0,0.81,0.684,,,0.842,,,,0.5,0,0,3,0.802,0.79,0.792,0.5185185185185186,0.9814814814814815
1,0.814,0.798,,,0.84,,,,0.5,0,0,4,0.814,0.812,0.816,0.5238095238095238,1.0
2,0.842,0.634,,,0.842,,,,0.5,0,0,5,0.838,0.764,0.798,0.6378089994041338,0.9850948509485095
3,0.84,0.706,,,0.844,,,,0.5,0,0,6,0.84,0.69,0.824,0.7646464646464647,0.9735836627140976
4,0.838,0.688,,,0.834,,,,0.5,0,0,7,0.84,0.688,0.832,0.7641145383669519,0.988262910798122
5,0.84,0.828,,,0.84,,,,0.5,0,0,8,0.838,0.816,0.832,0.9585467820761939,0.9887482419127989
6,0.842,0.826,,,0.838,,,,0.5,0,0,9,0.842,0.816,0.846,0.9784821394016797,1.0
7,0.84,0.816,,,0.838,,,,0.5,0,0,10,0.84,0.834,0.836,0.9794238683127572,1.0
8,0.846,0.84,,,0.834,,,,0.5,0,0,11,0.846,0.842,0.83,0.9818053249707925,1.0
9,0.852,0.846,,,0.836,,,,0.5,0,0,12,0.852,0.85,0.832,0.9908730158730159,1.0
10,0.842,0.84,,,0.83,,,,0.5,0,0,13,0.842,0.84,0.83,0.977368177656974,1.0
11,0.846,0.844,,,0.828,,,,0.5,0,0,14,0.846,0.842,0.836,0.9869565217391304,1.0
12,0.84,0.836,,,0.836,,,,0.5,0,0,15,0.846,0.836,0.824,0.9390070921985816,0.9479302832244009
13,0.85,0.818,,,0.82,,,,0.5,0,0,16,0.828,0.822,0.832,0.9446063196063198,0.9566929133858267
14,0.852,0.824,,,0.82,,,,0.5,0,0,17,0.832,0.826,0.836,0.947870409026047,0.9593495934959348
15,0.852,0.822,,,0.82,,,,0.5,0,0,18,0.84,0.824,0.834,0.9507697082557418,0.9552377742468744
16,0.854,0.826,,,0.818,,,,0.5,0,0,19,0.838,0.824,0.836,0.9492086768619861,0.953219891809662
17,0.85,0.832,,,0.818,,,,0.5,0,0,20,0.838,0.832,0.83,0.9460442947481918,0.9555841221611936
18,0.852,0.836,,,0.814,,,,0.5,0,0,21,0.842,0.832,0.832,0.9496356205531953,0.9544812369606777
19,0.844,0.834,,,0.814,,,,0.5,0,0,22,0.828,0.834,0.828,0.9447509973439894,0.9539491124942371
20,0.842,0.836,,,0.814,,,,0.5,0,0,23,0.824,0.832,0.834,0.9431780456442076,0.9558419653296314
21,0.852,0.84,,,0.812,,,,0.5,0,0,24,0.84,0.844,0.834,0.9497486047093295,0.9518325490389267
22,0.846,0.846,,,0.814,,,,0.5,0,0,25,0.834,0.84,0.828,0.9527079929651053,0.9574922147967787
23,0.85,0.846,,,0.82,,,,0.5,0,0,26,0.848,0.844,0.836,0.9536252354048964,0.9583333333333334
24,0.848,0.846,,,0.818,,,,0.5,0,0,27,0.846,0.844,0.824,0.9553671096882681,0.9598809985771568
25,0.85,0.846,,,0.818,,,,0.5,0,0,28,0.846,0.846,0.824,0.9535450746525996,0.9578803347682067
26,0.85,0.848,,,0.818,,,,0.5,0,0,29,0.846,0.844,0.824,0.9531572727343318,0.9506605364952113
27,0.848,0.844,,,0.82,,,,0.5,0,0,30,0.848,0.846,0.832,0.954677425541657,0.9586951589858244
28,0.848,0.848,,,0.818,,,,0.5,0,0,31,0.852,0.842,0.824,0.953692719877351,0.9585734327200888
29,0.844,0.846,,,0.82,,,,0.5,0,0,32,0.85,0.848,0.812,0.9567186375855664,0.942693575220448
30,0.824,0.764,,,0.844,,,,0.5,0,1,3,0.824,0.81,0.82,0.5277777777777778,1.0
31,0.846,0.636,,,0.836,,,,0.5,0,1,4,0.846,0.81,0.806,0.6298153953326369,1.0
32,0.84,0.716,,,0.834,,,,0.5,0,1,5,0.84,0.696,0.826,0.783816425120773,1.0
33,0.834,0.7,,,0.832,,,,0.5,0,1,6,0.834,0.69,0.834,0.7944626295690126,1.0
34,0.838,0.83,,,0.842,,,,0.5,0,1,7,0.838,0.824,0.838,0.9684850074307193,1.0
35,0.836,0.82,,,0.84,,,,0.5,0,1,8,0.836,0.824,0.844,0.9881944444444445,1.0
36,0.842,0.83,,,0.842,,,,0.5,0,1,9,0.842,0.832,0.838,0.9886363636363638,1.0
