,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.8125,0.55,0.785,0.815,0.8175,0.805,0.5042087542087542,0.5505747339080678,0.5,5,3,3
1,0.8025,0.6025,0.7875,0.8125,0.8225,0.8125,0.500445632798574,0.5300862734017818,0.5,5,3,4
2,0.795,0.625,0.795,0.8075,0.82,0.8125,0.5001202501202501,0.5254390093962291,0.5,5,3,5
3,0.81,0.6275,0.8025,0.82,0.8275,0.8225,0.5075264241930911,0.5319432084430541,0.5,5,3,6
4,0.8125,0.685,0.8075,0.82,0.83,0.8275,0.5051202727378277,0.5275920698752464,0.5,5,3,7
5,0.83,0.6925,0.81,0.8225,0.8325,0.8325,0.5055942002281667,0.5257980409093184,0.5,5,3,8
6,0.8275,0.7575,0.8125,0.8225,0.835,0.835,0.5097290417864584,0.5234324001057553,0.5,5,3,9
7,0.83,0.76,0.8075,0.8225,0.8325,0.8325,0.5094013035189511,0.522653185253513,0.5,5,3,10
8,0.85,0.85,0.825,0.8275,0.84,0.8475,0.5110780601452417,0.5162318803959882,0.5,5,3,11
9,0.855,0.8575,0.83,0.8275,0.84,0.845,0.5158910321163419,0.524250237428637,0.5,5,3,12
10,0.855,0.845,0.8375,0.8275,0.8475,0.8525,0.51228767031186,0.5372657381479194,0.5,5,3,13
11,0.85,0.845,0.835,0.8375,0.85,0.85,0.5290556861454968,0.5341956899782302,0.5,5,3,14
12,0.8475,0.8525,0.83,0.84,0.85,0.85,0.5198570738312858,0.5432563654281163,0.5,5,3,15
13,0.855,0.85,0.8325,0.84,0.85,0.8525,0.5126938349834588,0.5350037128531951,0.5,5,3,16
14,0.8525,0.85,0.8325,0.8425,0.85,0.8525,0.5096867031456948,0.5327158272504783,0.5,5,3,17
15,0.8475,0.8475,0.84,0.8425,0.8525,0.8525,0.5171869824693424,0.538752202919759,0.5,5,3,18
16,0.85,0.8425,0.84,0.84,0.8525,0.8525,0.5148647435897782,0.5395106439033609,0.5,5,3,19
17,0.8525,0.845,0.8375,0.845,0.8525,0.8525,0.5086728239670424,0.5423097518064637,0.5,5,3,20
18,0.8475,0.8475,0.8375,0.84,0.8525,0.855,0.5075560767597214,0.5399021179352156,0.5,5,3,21
19,0.845,0.8425,0.8375,0.8425,0.8525,0.855,0.512485280830438,0.547050102910879,0.5,5,3,22
20,0.85,0.845,0.85,0.855,0.8525,0.8575,0.5378316527764145,0.5519660736216424,0.5,5,3,23
21,0.855,0.845,0.8525,0.855,0.86,0.855,0.5332187195776975,0.5556596066181337,0.5,5,3,24
22,0.8525,0.8475,0.85,0.8525,0.8625,0.8575,0.5296596241344733,0.554941681527684,0.5,5,3,25
23,0.8575,0.845,0.8475,0.85,0.86,0.855,0.5273195249072329,0.5529433857814183,0.5,5,3,26
24,0.8525,0.8475,0.8525,0.8525,0.865,0.8575,0.5314162073283897,0.5585901229507679,0.5,5,3,27
25,0.8525,0.8475,0.855,0.8525,0.865,0.8575,0.5347430896795438,0.563428981043709,0.5,5,3,28
26,0.8525,0.85,0.85,0.8525,0.865,0.8575,0.5321642548529841,0.5614373767476682,0.5,5,3,29
27,0.8525,0.8475,0.85,0.8525,0.865,0.8575,0.5282513226870312,0.5576739047133079,0.5,5,3,30
28,0.855,0.845,0.8475,0.855,0.8575,0.8575,0.5291234362748239,0.5595907442572956,0.5,5,3,31
29,0.8525,0.8475,0.8475,0.8575,0.8575,0.8575,0.5286984964148981,0.5568062957782924,0.5,5,3,32
30,0.855,0.845,0.85,0.85,0.8575,0.855,0.5329502949592211,0.5608611166954847,0.5,5,3,33
31,0.8525,0.845,0.85,0.855,0.8575,0.855,0.529622177034675,0.5608122838689522,0.5,5,3,34
32,0.8525,0.845,0.8475,0.855,0.86,0.855,0.5283626599347484,0.5647052917681986,0.5,5,3,35
33,0.855,0.845,0.85,0.8575,0.86,0.855,0.5306238187878072,0.5591593007040344,0.5,5,3,36
34,0.855,0.8475,0.85,0.855,0.86,0.855,0.5331865982603238,0.5634357022094287,0.5,5,3,37
35,0.8525,0.8425,0.85,0.8575,0.86,0.855,0.5312014985378227,0.5586002397241865,0.5,5,3,38
36,0.8525,0.8525,0.855,0.855,0.86,0.86,0.5365793276971201,0.5643953433641812,0.5,5,3,39
37,0.8525,0.85,0.8575,0.8525,0.86,0.86,0.5415033599222455,0.5591745112653534,0.5,5,3,40
38,0.8525,0.8575,0.8575,0.8525,0.8625,0.86,0.5394115610338636,0.5577029984328515,0.5,5,3,41
