,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.8325,0.655,0.7775,0.83,0.8325,0.81,0.5990460157126823,0.712650929317596,0.5,54,63,3
1,0.8175,0.7225,0.795,0.8275,0.8175,0.8075,0.6091297591297592,0.7143645652558309,0.5,54,63,4
2,0.8075,0.725,0.8,0.82,0.8125,0.8,0.6472102615150744,0.7249861551746669,0.5,54,63,5
3,0.83,0.7875,0.82,0.83,0.83,0.835,0.722892895690439,0.7275095198126394,0.5,54,63,6
4,0.8375,0.8075,0.83,0.84,0.8325,0.8325,0.7176969434047744,0.7270565613086728,0.5,54,63,7
5,0.84,0.82,0.8325,0.8425,0.83,0.8325,0.7138945625602585,0.7274858863141889,0.5,54,63,8
6,0.84,0.81,0.8325,0.8425,0.835,0.8375,0.7168603072479727,0.7304319377821663,0.5,54,63,9
7,0.8375,0.7725,0.825,0.8375,0.8325,0.83,0.7321832135630737,0.737391079279915,0.5,54,63,10
8,0.8425,0.79,0.8275,0.8425,0.8275,0.8225,0.7443012293864134,0.7428324048536377,0.5,54,63,11
9,0.845,0.7875,0.81,0.8425,0.83,0.815,0.722947531254274,0.7410375228246051,0.5,54,63,12
10,0.84,0.78,0.81,0.845,0.83,0.8125,0.7187956238776355,0.7370747900113267,0.5,54,63,13
11,0.845,0.76,0.81,0.8475,0.8325,0.8175,0.7236848883462601,0.7413066599858583,0.5,54,63,14
12,0.8425,0.76,0.81,0.84,0.8275,0.815,0.7238330362552058,0.7418221918436319,0.5,54,63,15
13,0.845,0.76,0.805,0.8475,0.84,0.815,0.7217742444411505,0.7391090804024248,0.5,54,63,16
14,0.845,0.76,0.8075,0.845,0.84,0.82,0.7168161846304364,0.7395711374955325,0.5,54,63,17
15,0.85,0.76,0.8025,0.845,0.8375,0.8175,0.7168036362430037,0.7369267460973736,0.5,54,63,18
16,0.85,0.8,0.8225,0.8525,0.845,0.8275,0.7255688811485812,0.7361723076882514,0.5,54,63,19
17,0.85,0.7925,0.82,0.85,0.8425,0.8275,0.7281048362259807,0.7392848888845704,0.5,54,63,20
18,0.85,0.8,0.8175,0.845,0.8375,0.82,0.7309379606079299,0.7376833595519955,0.5,54,63,21
19,0.845,0.8075,0.8175,0.8475,0.84,0.8225,0.7292101495065726,0.7427858090449796,0.5,54,63,22
20,0.845,0.815,0.8225,0.8525,0.8475,0.83,0.7317914922496845,0.7438874613886856,0.5,54,63,23
21,0.8475,0.81,0.8325,0.85,0.8475,0.8325,0.7333501667097158,0.7443529941043115,0.5,54,63,24
22,0.845,0.8375,0.8475,0.85,0.8475,0.835,0.735309342628505,0.7408818967744699,0.5,54,63,25
23,0.85,0.845,0.8425,0.85,0.845,0.84,0.7366255693750395,0.7403250503560648,0.5,54,63,26
24,0.85,0.8425,0.8425,0.85,0.8475,0.8425,0.7375232491997513,0.7411277936042401,0.5,54,63,27
25,0.8525,0.8375,0.8425,0.85,0.8425,0.8425,0.737205601609201,0.7417221651616028,0.5,54,63,28
26,0.8575,0.845,0.84,0.855,0.8425,0.845,0.7412784347632552,0.7424542777682103,0.5,54,63,29
27,0.8575,0.8375,0.8425,0.8575,0.845,0.8425,0.7412439045547262,0.7436551227461926,0.5,54,63,30
28,0.8575,0.8375,0.8425,0.855,0.8425,0.84,0.7382410667061045,0.7404805623246445,0.5,54,63,31
29,0.8575,0.8325,0.84,0.85,0.84,0.8375,0.7368927818583776,0.7406120255422347,0.5,54,63,32
30,0.8575,0.8325,0.8425,0.855,0.8375,0.8375,0.7358217944205633,0.7395859581142948,0.5,54,63,33
31,0.8575,0.83,0.84,0.855,0.8425,0.8375,0.734957827478416,0.7382600754940942,0.5,54,63,34
32,0.86,0.8375,0.84,0.855,0.8425,0.8425,0.7359838909166153,0.736737934912928,0.5,54,63,35
33,0.8575,0.8475,0.85,0.86,0.8425,0.8425,0.7360428774385863,0.7357360267151468,0.5,54,63,36
34,0.86,0.845,0.845,0.86,0.8425,0.845,0.7341069528778488,0.7347506808800183,0.5,54,63,37
35,0.86,0.84,0.84,0.855,0.84,0.845,0.7340265003297368,0.7350344211445563,0.5,54,63,38
36,0.86,0.835,0.84,0.8525,0.845,0.845,0.734100759634321,0.7351510759512447,0.5,54,63,39
37,0.8525,0.8375,0.8425,0.85,0.8425,0.845,0.7339871686084325,0.7357586007994903,0.5,54,63,40
38,0.855,0.84,0.8425,0.8525,0.845,0.8475,0.733103956657744,0.7336451788439268,0.5,54,63,41
39,0.855,0.8375,0.84,0.8475,0.8425,0.845,0.7342967155262193,0.7346544537863557,0.5,54,63,42
40,0.85,0.8375,0.845,0.8475,0.8425,0.8425,0.7340511083554017,0.7332320955561845,0.5,54,63,43
41,0.8525,0.84,0.8425,0.85,0.8425,0.8475,0.7346970801462649,0.7336421792042651,0.5,54,63,44
42,0.855,0.8425,0.845,0.8475,0.8425,0.845,0.7342770340069831,0.7350824378819976,0.5,54,63,45
43,0.86,0.8475,0.8475,0.8525,0.8425,0.845,0.7359937880816132,0.7332753488935885,0.5,54,63,46
44,0.8525,0.845,0.845,0.85,0.845,0.845,0.7355535046148786,0.7348564809224183,0.5,54,63,47
45,0.855,0.8475,0.8475,0.85,0.845,0.845,0.7365797625929703,0.7346472573181337,0.5,54,63,48
46,0.86,0.85,0.845,0.8525,0.845,0.84,0.7361667959002215,0.7342746891447052,0.5,54,63,49
47,0.855,0.85,0.845,0.85,0.845,0.8475,0.7361298743741215,0.7345952448150723,0.5,54,63,50
48,0.8575,0.8525,0.85,0.8525,0.8425,0.845,0.7355668837360959,0.7343569795838872,0.5,54,63,51
49,0.86,0.855,0.8475,0.8525,0.8425,0.8475,0.7349014200006387,0.733973794961692,0.5,54,63,52
