,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.705,0.565,0.7575,0.78,0.7925,0.7525,0.5752781730054466,0.5910958289746178,0.5,9,70,3
1,0.755,0.775,0.8075,0.8025,0.795,0.7975,0.5159901674056775,0.5227930384183223,0.5,9,70,4
2,0.7675,0.775,0.8075,0.8025,0.7975,0.8025,0.5372367465504728,0.5187709146642246,0.5,9,70,5
3,0.73,0.7825,0.8025,0.8,0.8025,0.8075,0.5264645932070184,0.5366098936756932,0.5,9,70,6
4,0.7575,0.7975,0.81,0.8025,0.805,0.8075,0.5294406549727148,0.5279438194067249,0.5,9,70,7
5,0.76,0.785,0.8075,0.8075,0.8,0.81,0.5340328304024833,0.5353402478680273,0.5,9,70,8
6,0.7675,0.7725,0.8075,0.8025,0.795,0.8,0.5358808817326738,0.5054004751637403,0.5,9,70,9
7,0.7725,0.785,0.8075,0.8025,0.795,0.8,0.52618127684212,0.5184976177112318,0.5,9,70,10
8,0.78,0.7725,0.8025,0.795,0.8,0.8,0.5378483473860538,0.5265315316793406,0.5,9,70,11
9,0.7825,0.785,0.805,0.795,0.8,0.805,0.533671669772221,0.5371437531545152,0.5,9,70,12
10,0.785,0.79,0.81,0.8,0.795,0.8,0.5363275423942812,0.535911255767792,0.5,9,70,13
11,0.7725,0.7825,0.805,0.8025,0.805,0.81,0.5575494698720441,0.5482899496633598,0.5,9,70,14
12,0.775,0.7775,0.8,0.8025,0.7975,0.81,0.5582766212393196,0.547746197623712,0.5,9,70,15
13,0.78,0.785,0.81,0.8,0.7975,0.81,0.5474426092465103,0.5356341429777363,0.5,9,70,16
14,0.78,0.78,0.8075,0.8025,0.805,0.81,0.5541651499719664,0.5440390267005466,0.5,9,70,17
15,0.7725,0.78,0.805,0.8075,0.805,0.8075,0.5619081881617648,0.5394398411468012,0.5,9,70,18
16,0.77,0.7775,0.8025,0.805,0.7975,0.81,0.5583520574872969,0.5423231176608426,0.5,9,70,19
17,0.7725,0.7825,0.81,0.7975,0.8,0.81,0.5637467566559966,0.5429236095424288,0.5,9,70,20
18,0.775,0.785,0.805,0.805,0.8,0.8125,0.5694256825046693,0.5464631843241078,0.5,9,70,21
19,0.7725,0.7825,0.8075,0.8025,0.8,0.805,0.5660925654583004,0.5489901155962154,0.5,9,70,22
20,0.7725,0.78,0.805,0.8,0.7975,0.8075,0.5561101122600962,0.546952857476102,0.5,9,70,23
21,0.7725,0.7775,0.8075,0.7975,0.8,0.8025,0.5618351059995896,0.5458885382427212,0.5,9,70,24
22,0.775,0.775,0.81,0.7975,0.805,0.8025,0.5598536514395931,0.5401496798132653,0.5,9,70,25
23,0.7775,0.7775,0.8125,0.7975,0.805,0.8025,0.5588971393524272,0.5398676518636193,0.5,9,70,26
24,0.7725,0.78,0.8125,0.7975,0.805,0.805,0.5577857668753046,0.5366497737792666,0.5,9,70,27
25,0.77,0.78,0.8125,0.7975,0.805,0.8025,0.5550463787481319,0.5363019826550214,0.5,9,70,28
26,0.7725,0.7775,0.8125,0.795,0.805,0.805,0.5508367023456073,0.5327789765284291,0.5,9,70,29
27,0.785,0.78,0.805,0.79,0.8025,0.8025,0.5529235334403614,0.5276761843990163,0.5,9,70,30
28,0.785,0.7775,0.805,0.7925,0.805,0.805,0.5500113596977614,0.5271724377096586,0.5,9,70,31
29,0.7775,0.7825,0.805,0.795,0.805,0.81,0.5545506176494445,0.5320380136702022,0.5,9,70,32
30,0.78,0.785,0.805,0.7925,0.795,0.81,0.556186430367512,0.5376930488036238,0.5,9,70,33
31,0.795,0.785,0.8075,0.7925,0.7925,0.81,0.5528855115140204,0.5288005230465181,0.5,9,70,34
32,0.7775,0.7875,0.805,0.7925,0.7925,0.805,0.5547260027360008,0.5295695160481528,0.5,9,70,35
33,0.7825,0.785,0.805,0.7925,0.79,0.81,0.5545243231446974,0.5327778620906434,0.5,9,70,36
34,0.79,0.785,0.8075,0.7925,0.7925,0.8125,0.5525479696730212,0.5323220986559598,0.5,9,70,37
35,0.795,0.785,0.8075,0.7925,0.795,0.8125,0.5496065918106832,0.5344646547511072,0.5,9,70,38
36,0.795,0.7775,0.805,0.7875,0.805,0.8075,0.5480043817633157,0.5315777845635572,0.5,9,70,39
37,0.7925,0.775,0.805,0.7875,0.805,0.8075,0.5460936165214072,0.5296203249310952,0.5,9,70,40
38,0.795,0.7825,0.805,0.7875,0.8025,0.8125,0.5504430171462119,0.534321633065656,0.5,9,70,41
