,yLDA,yQDA,y10BBQ,y10BBL,yLiu,yLiuQDA,r10BBQ,r10BBL,rLiu,person,times,shots
0,0.8175,0.6675,0.6275,0.8175,0.5,0.5,0.8364197530864196,0.9961967856704698,0.5,2,84,3
1,0.8025,0.7825,0.7875,0.8025,0.5,0.5,0.9910533910533912,0.9952186441214654,0.5,2,84,4
2,0.8175,0.8325,0.84,0.8175,0.5,0.5,0.9927571403823008,0.9907279869401081,0.5,2,84,5
3,0.81,0.8325,0.8375,0.815,0.5,0.5,0.9905703972779663,0.9916947250280583,0.5,2,84,6
4,0.8125,0.8375,0.8375,0.8175,0.5,0.5,0.9911412043349092,0.992477219749947,0.5,2,84,7
5,0.8225,0.83,0.8375,0.8225,0.5,0.5,0.9921181512090603,0.9926188289824653,0.5,2,84,8
6,0.8225,0.8425,0.835,0.825,0.5,0.5,0.989745944291399,0.9928451178451179,0.5,2,84,9
7,0.8075,0.8275,0.83,0.81,0.5,0.5,0.9908200077639484,0.9907998389971825,0.5,2,84,10
8,0.8175,0.8275,0.83,0.8125,0.5,0.5,0.9912399686025096,0.991771752360648,0.5,2,84,11
9,0.81,0.8275,0.83,0.8075,0.5,0.5,0.9922863525266316,0.9924889225478163,0.5,2,84,12
10,0.8025,0.8275,0.825,0.8025,0.5025,0.5,0.991381173140242,0.9920022618814299,0.5,2,84,13
11,0.8,0.825,0.8225,0.8,0.5025,0.5,0.9913452677101492,0.9937894383018799,0.5,2,84,14
12,0.8,0.8175,0.8175,0.8025,0.5025,0.5,0.9897380012265969,0.9902847289664891,0.5,2,84,15
13,0.7975,0.825,0.825,0.8,0.5025,0.5,0.9888302139680437,0.9895065416448009,0.5,2,84,16
14,0.8,0.825,0.8225,0.8025,0.5025,0.5,0.9887739915150354,0.9895721090366736,0.5,2,84,17
15,0.8075,0.82,0.8175,0.8075,0.5,0.5,0.9888346896639635,0.9894627201925179,0.5,2,84,18
16,0.815,0.8325,0.8175,0.815,0.5,0.5,0.9885710027070062,0.990327257005339,0.5,2,84,19
17,0.82,0.825,0.8175,0.8225,0.5,0.5,0.9899733552587856,0.9908741818719782,0.5,2,84,20
18,0.82,0.82,0.815,0.82,0.5,0.5,0.9907756789608397,0.9920692524180027,0.5,2,84,21
19,0.8175,0.8175,0.8175,0.8175,0.5,0.5,0.9907695384330903,0.992351909938828,0.5,2,84,22
20,0.8125,0.8175,0.81,0.8175,0.5,0.5,0.9903156697961316,0.9926144744064874,0.5,2,84,23
21,0.8225,0.835,0.83,0.8225,0.5,0.5,0.9904548972518221,0.9926993589282155,0.5,2,84,24
22,0.82,0.83,0.825,0.8175,0.5,0.5,0.9901252733170461,0.992544222974138,0.5,2,84,25
